N = 10;
T = 14;
K = 2;
C = 146.0;
furnance = 2;
color = 2;
machines = [4 5];
products = [190 157 423 167 73 172 71 171 428 438];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[3.4820352000000003 3.4820352000000003],[2.88036 2.88036],[4.4933616 4.4933616],[4.576572 4.576572],[2.128266 2.128266],[4.3781472 4.3781472],[2.0066508 2.0066508],[4.608576 4.608576],[3.9172896 3.9172896],[4.4149518 4.4149518]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 57.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 50.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0]];
Sijk = [[[0.0 0.0],[6.0 9.0],[13.0 9.0],[14.0 12.0],[7.0 7.0],[13.0 12.0],[6.0 6.0],[11.0 9.0],[9.0 11.0],[9.0 9.0]]
[[8.0 6.0],[0.0 0.0],[11.0 13.0],[12.0 12.0],[6.0 6.0],[9.0 10.0],[6.0 6.0],[12.0 10.0],[12.0 8.0],[13.0 14.0]]
[[11.0 10.0],[6.0 8.0],[0.0 0.0],[12.0 9.0],[5.0 4.0],[12.0 14.0],[5.0 5.0],[8.0 14.0],[13.0 10.0],[8.0 11.0]]
[[8.0 11.0],[5.0 9.0],[9.0 13.0],[0.0 0.0],[7.0 7.0],[8.0 12.0],[6.0 5.0],[13.0 12.0],[8.0 7.0],[13.0 12.0]]
[[11.0 10.0],[8.0 6.0],[10.0 9.0],[9.0 8.0],[0.0 0.0],[9.0 13.0],[4.0 4.0],[12.0 14.0],[11.0 7.0],[11.0 10.0]]
[[10.0 11.0],[5.0 10.0],[11.0 9.0],[11.0 12.0],[7.0 5.0],[0.0 0.0],[6.0 4.0],[12.0 9.0],[12.0 10.0],[11.0 11.0]]
[[8.0 7.0],[8.0 8.0],[10.0 13.0],[12.0 15.0],[5.0 5.0],[11.0 10.0],[0.0 0.0],[13.0 9.0],[12.0 12.0],[15.0 8.0]]
[[7.0 9.0],[5.0 9.0],[13.0 11.0],[13.0 8.0],[6.0 4.0],[12.0 13.0],[6.0 7.0],[0.0 0.0],[10.0 9.0],[11.0 8.0]]
[[11.0 10.0],[7.0 6.0],[14.0 10.0],[10.0 12.0],[5.0 4.0],[10.0 10.0],[5.0 5.0],[15.0 9.0],[0.0 0.0],[12.0 9.0]]
[[8.0 7.0],[9.0 9.0],[10.0 9.0],[15.0 12.0],[7.0 6.0],[12.0 11.0],[6.0 5.0],[11.0 9.0],[8.0 10.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[6.0 9.0],[13.0 9.0],[14.0 12.0],[7.0 7.0],[13.0 12.0],[6.0 6.0],[11.0 9.0],[9.0 11.0],[9.0 9.0]]
[[8.0 6.0],[0.0 0.0],[11.0 13.0],[12.0 12.0],[6.0 6.0],[9.0 10.0],[6.0 6.0],[12.0 10.0],[12.0 8.0],[13.0 14.0]]
[[11.0 10.0],[6.0 8.0],[0.0 0.0],[12.0 9.0],[5.0 4.0],[12.0 14.0],[5.0 5.0],[8.0 14.0],[13.0 10.0],[8.0 11.0]]
[[8.0 11.0],[5.0 9.0],[9.0 13.0],[0.0 0.0],[7.0 7.0],[8.0 12.0],[6.0 5.0],[13.0 12.0],[8.0 7.0],[13.0 12.0]]
[[11.0 10.0],[8.0 6.0],[10.0 9.0],[9.0 8.0],[0.0 0.0],[9.0 13.0],[4.0 4.0],[12.0 14.0],[11.0 7.0],[11.0 10.0]]
[[10.0 11.0],[5.0 10.0],[11.0 9.0],[11.0 12.0],[7.0 5.0],[0.0 0.0],[6.0 4.0],[12.0 9.0],[12.0 10.0],[11.0 11.0]]
[[8.0 7.0],[8.0 8.0],[10.0 13.0],[12.0 15.0],[5.0 5.0],[11.0 10.0],[0.0 0.0],[13.0 9.0],[12.0 12.0],[15.0 8.0]]
[[7.0 9.0],[5.0 9.0],[13.0 11.0],[13.0 8.0],[6.0 4.0],[12.0 13.0],[6.0 7.0],[0.0 0.0],[10.0 9.0],[11.0 8.0]]
[[11.0 10.0],[7.0 6.0],[14.0 10.0],[10.0 12.0],[5.0 4.0],[10.0 10.0],[5.0 5.0],[15.0 9.0],[0.0 0.0],[12.0 9.0]]
[[8.0 7.0],[9.0 9.0],[10.0 9.0],[15.0 12.0],[7.0 6.0],[12.0 11.0],[6.0 5.0],[11.0 9.0],[8.0 10.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
