N = 10;
T = 7;
K = 2;
C = 146.0;
furnance = 2;
color = 3;
machines = [4 5];
products = [239 233 21 10 231 14 222 463 238 223];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[3.3591398399999997 3.3591398399999997],[3.00325536 3.00325536],[4.7109888 4.7109888],[3.84048 3.84048],[3.3591398399999997 3.3591398399999997],[3.84048 3.84048],[4.176522 4.176522],[4.4933616 4.4933616],[3.6292536 3.6292536],[4.032504 4.032504]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 84.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 60.0],[0.0 0.0 0.0 0.0 0.0 0.0 84.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 80.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0]];
Sijk = [[[0.0 0.0],[9.0 6.0],[10.0 10.0],[8.0 10.0],[8.0 6.0],[12.0 13.0],[13.0 11.0],[11.0 11.0],[7.0 9.0],[12.0 12.0]]
[[10.0 8.0],[0.0 0.0],[11.0 10.0],[9.0 8.0],[10.0 9.0],[11.0 7.0],[13.0 8.0],[12.0 12.0],[7.0 9.0],[8.0 10.0]]
[[11.0 9.0],[9.0 8.0],[0.0 0.0],[9.0 7.0],[9.0 7.0],[11.0 7.0],[13.0 9.0],[14.0 10.0],[12.0 9.0],[12.0 8.0]]
[[8.0 10.0],[8.0 8.0],[12.0 11.0],[0.0 0.0],[11.0 7.0],[13.0 9.0],[13.0 12.0],[13.0 14.0],[11.0 10.0],[9.0 10.0]]
[[10.0 9.0],[7.0 8.0],[11.0 13.0],[11.0 8.0],[0.0 0.0],[9.0 8.0],[9.0 9.0],[11.0 9.0],[10.0 8.0],[13.0 7.0]]
[[6.0 11.0],[7.0 10.0],[15.0 13.0],[8.0 10.0],[8.0 6.0],[0.0 0.0],[8.0 12.0],[8.0 13.0],[9.0 10.0],[13.0 11.0]]
[[6.0 9.0],[6.0 6.0],[10.0 10.0],[11.0 9.0],[8.0 10.0],[8.0 9.0],[0.0 0.0],[13.0 9.0],[12.0 12.0],[9.0 12.0]]
[[10.0 8.0],[6.0 6.0],[8.0 9.0],[12.0 10.0],[9.0 7.0],[11.0 8.0],[14.0 11.0],[0.0 0.0],[7.0 7.0],[10.0 8.0]]
[[8.0 6.0],[8.0 7.0],[13.0 12.0],[11.0 11.0],[7.0 9.0],[9.0 12.0],[13.0 9.0],[14.0 13.0],[0.0 0.0],[10.0 10.0]]
[[8.0 11.0],[5.0 6.0],[8.0 9.0],[7.0 10.0],[8.0 11.0],[9.0 10.0],[11.0 8.0],[11.0 11.0],[11.0 12.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[9.0 6.0],[10.0 10.0],[8.0 10.0],[8.0 6.0],[12.0 13.0],[13.0 11.0],[11.0 11.0],[7.0 9.0],[12.0 12.0]]
[[10.0 8.0],[0.0 0.0],[11.0 10.0],[9.0 8.0],[10.0 9.0],[11.0 7.0],[13.0 8.0],[12.0 12.0],[7.0 9.0],[8.0 10.0]]
[[11.0 9.0],[9.0 8.0],[0.0 0.0],[9.0 7.0],[9.0 7.0],[11.0 7.0],[13.0 9.0],[14.0 10.0],[12.0 9.0],[12.0 8.0]]
[[8.0 10.0],[8.0 8.0],[12.0 11.0],[0.0 0.0],[11.0 7.0],[13.0 9.0],[13.0 12.0],[13.0 14.0],[11.0 10.0],[9.0 10.0]]
[[10.0 9.0],[7.0 8.0],[11.0 13.0],[11.0 8.0],[0.0 0.0],[9.0 8.0],[9.0 9.0],[11.0 9.0],[10.0 8.0],[13.0 7.0]]
[[6.0 11.0],[7.0 10.0],[15.0 13.0],[8.0 10.0],[8.0 6.0],[0.0 0.0],[8.0 12.0],[8.0 13.0],[9.0 10.0],[13.0 11.0]]
[[6.0 9.0],[6.0 6.0],[10.0 10.0],[11.0 9.0],[8.0 10.0],[8.0 9.0],[0.0 0.0],[13.0 9.0],[12.0 12.0],[9.0 12.0]]
[[10.0 8.0],[6.0 6.0],[8.0 9.0],[12.0 10.0],[9.0 7.0],[11.0 8.0],[14.0 11.0],[0.0 0.0],[7.0 7.0],[10.0 8.0]]
[[8.0 6.0],[8.0 7.0],[13.0 12.0],[11.0 11.0],[7.0 9.0],[9.0 12.0],[13.0 9.0],[14.0 13.0],[0.0 0.0],[10.0 10.0]]
[[8.0 11.0],[5.0 6.0],[8.0 9.0],[7.0 10.0],[8.0 11.0],[9.0 10.0],[11.0 8.0],[11.0 11.0],[11.0 12.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
