N = 5;
T = 14;
K = 2;
C = 146.0;
furnance = 2;
color = 6;
machines = [4 5];
products = [8 466 176 115 117];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[3.36042 3.36042],[4.4933616 4.4933616],[4.3781472 4.3781472],[3.456432 3.456432],[3.888486 3.888486]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 129.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 115.0],[0.0 0.0 0.0 0.0 0.0 0.0 164.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 88.0 0.0 0.0 0.0 0.0 0.0 0.0 168.0],[0.0 0.0 0.0 0.0 0.0 0.0 160.0 0.0 0.0 0.0 0.0 0.0 0.0 99.0]];
Sijk = [[[0.0 0.0],[12.0 14.0],[9.0 14.0],[10.0 10.0],[12.0 9.0]]
[[9.0 6.0],[0.0 0.0],[9.0 8.0],[11.0 11.0],[7.0 12.0]]
[[9.0 10.0],[14.0 15.0],[0.0 0.0],[10.0 9.0],[7.0 11.0]]
[[8.0 6.0],[13.0 10.0],[10.0 11.0],[0.0 0.0],[12.0 8.0]]
[[7.0 8.0],[15.0 9.0],[9.0 13.0],[11.0 8.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[12.0 14.0],[9.0 14.0],[10.0 10.0],[12.0 9.0]]
[[9.0 6.0],[0.0 0.0],[9.0 8.0],[11.0 11.0],[7.0 12.0]]
[[9.0 10.0],[14.0 15.0],[0.0 0.0],[10.0 9.0],[7.0 11.0]]
[[8.0 6.0],[13.0 10.0],[10.0 11.0],[0.0 0.0],[12.0 8.0]]
[[7.0 8.0],[15.0 9.0],[9.0 13.0],[11.0 8.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2];
