N = 5;
T = 7;
K = 1;
C = 73.0;
furnance = 2;
color = 3;
machines = [4];
products = [15 222 185 21 133];
MINik = [[12.0],[12.0],[12.0],[12.0],[12.0]];
MAXik = [[16.0],[16.0],[16.0],[16.0],[16.0]];
Pik = [[3.8020752],[4.176522],[3.8276784],[4.7109888],[2.784348]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 81.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0]];
Sijk = [[[0.0],[8.0],[12.0],[11.0],[9.0]]
[[8.0],[0.0],[7.0],[8.0],[7.0]]
[[8.0],[11.0],[0.0],[10.0],[8.0]]
[[11.0],[11.0],[8.0],[0.0],[6.0]]
[[12.0],[13.0],[10.0],[8.0],[0.0]]];
Cijk = [[[0.0],[8.0],[12.0],[11.0],[9.0]]
[[8.0],[0.0],[7.0],[8.0],[7.0]]
[[8.0],[11.0],[0.0],[10.0],[8.0]]
[[11.0],[11.0],[8.0],[0.0],[6.0]]
[[12.0],[13.0],[10.0],[8.0],[0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2];
