N = 5;
T = 7;
K = 1;
C = 73.0;
furnance = 2;
color = 5;
machines = [4];
products = [455 37 408 249 267];
MINik = [[12.0],[12.0],[12.0],[12.0],[12.0]];
MAXik = [[16.0],[16.0],[16.0],[16.0],[16.0]];
Pik = [[3.672459],[3.168396],[4.896612],[3.1011876000000003],[4.301337599999999]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0]];
Sijk = [[[0.0],[9.0],[9.0],[9.0],[12.0]]
[[11.0],[0.0],[8.0],[9.0],[9.0]]
[[11.0],[9.0],[0.0],[10.0],[8.0]]
[[10.0],[7.0],[12.0],[0.0],[8.0]]
[[10.0],[8.0],[10.0],[6.0],[0.0]]];
Cijk = [[[0.0],[9.0],[9.0],[9.0],[12.0]]
[[11.0],[0.0],[8.0],[9.0],[9.0]]
[[11.0],[9.0],[0.0],[10.0],[8.0]]
[[10.0],[7.0],[12.0],[0.0],[8.0]]
[[10.0],[8.0],[10.0],[6.0],[0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2];
