N = 5;
T = 14;
K = 2;
C = 146.0;
furnance = 2;
color = 1;
machines = [4 5];
products = [98 56 429 421 145];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[2.7459432 2.7459432],[4.16052 4.16052],[3.9172896 3.9172896],[4.4933616 4.4933616],[3.1107888 3.1107888]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 105.0 0.0 0.0 0.0 0.0 0.0 0.0 162.0],[0.0 0.0 0.0 0.0 0.0 0.0 106.0 0.0 0.0 0.0 0.0 0.0 0.0 106.0],[0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0 50.0],[0.0 0.0 0.0 0.0 0.0 0.0 159.0 0.0 0.0 0.0 0.0 0.0 0.0 57.0],[0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 159.0]];
Sijk = [[[0.0 0.0],[8.0 8.0],[7.0 10.0],[13.0 13.0],[7.0 7.0]]
[[7.0 8.0],[0.0 0.0],[12.0 7.0],[13.0 15.0],[8.0 8.0]]
[[8.0 8.0],[10.0 13.0],[0.0 0.0],[10.0 11.0],[6.0 8.0]]
[[9.0 8.0],[12.0 12.0],[7.0 12.0],[0.0 0.0],[8.0 8.0]]
[[6.0 8.0],[10.0 9.0],[12.0 8.0],[11.0 10.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[8.0 8.0],[7.0 10.0],[13.0 13.0],[7.0 7.0]]
[[7.0 8.0],[0.0 0.0],[12.0 7.0],[13.0 15.0],[8.0 8.0]]
[[8.0 8.0],[10.0 13.0],[0.0 0.0],[10.0 11.0],[6.0 8.0]]
[[9.0 8.0],[12.0 12.0],[7.0 12.0],[0.0 0.0],[8.0 8.0]]
[[6.0 8.0],[10.0 9.0],[12.0 8.0],[11.0 10.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2];
