N = 10;
T = 14;
K = 2;
C = 146.0;
furnance = 2;
color = 1;
machines = [4 5];
products = [127 252 45 421 78 211 141 170 96 118];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[2.5616001600000002 2.5616001600000002],[3.6868608000000003 3.6868608000000003],[3.328416 3.328416],[4.4933616 4.4933616],[1.856232 1.856232],[4.3269408 4.3269408],[2.6755344 2.6755344],[4.576572 4.576572],[2.32029 2.32029],[2.88036 2.88036]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 84.0],[0.0 0.0 0.0 0.0 0.0 0.0 81.0 0.0 0.0 0.0 0.0 0.0 0.0 57.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0],[0.0 0.0 0.0 0.0 0.0 0.0 68.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0]];
Sijk = [[[0.0 0.0],[10.0 8.0],[11.0 9.0],[12.0 10.0],[5.0 5.0],[9.0 9.0],[6.0 7.0],[15.0 14.0],[8.0 7.0],[9.0 6.0]]
[[8.0 6.0],[0.0 0.0],[7.0 9.0],[13.0 13.0],[4.0 6.0],[13.0 11.0],[5.0 7.0],[12.0 8.0],[5.0 5.0],[6.0 6.0]]
[[8.0 8.0],[12.0 11.0],[0.0 0.0],[9.0 11.0],[5.0 5.0],[10.0 13.0],[8.0 5.0],[15.0 12.0],[7.0 7.0],[10.0 8.0]]
[[8.0 6.0],[11.0 9.0],[11.0 8.0],[0.0 0.0],[6.0 4.0],[12.0 8.0],[8.0 6.0],[11.0 14.0],[7.0 5.0],[7.0 7.0]]
[[7.0 5.0],[9.0 12.0],[10.0 9.0],[9.0 15.0],[0.0 0.0],[10.0 8.0],[9.0 8.0],[13.0 10.0],[5.0 7.0],[6.0 9.0]]
[[7.0 7.0],[11.0 7.0],[7.0 9.0],[11.0 13.0],[6.0 4.0],[0.0 0.0],[5.0 7.0],[10.0 11.0],[6.0 4.0],[6.0 7.0]]
[[6.0 8.0],[11.0 9.0],[6.0 6.0],[9.0 13.0],[5.0 6.0],[12.0 14.0],[0.0 0.0],[8.0 8.0],[6.0 8.0],[9.0 5.0]]
[[8.0 8.0],[8.0 8.0],[6.0 8.0],[11.0 12.0],[4.0 6.0],[8.0 13.0],[7.0 9.0],[0.0 0.0],[7.0 5.0],[9.0 8.0]]
[[8.0 6.0],[10.0 9.0],[11.0 8.0],[13.0 9.0],[5.0 5.0],[9.0 11.0],[5.0 6.0],[13.0 13.0],[0.0 0.0],[9.0 5.0]]
[[8.0 5.0],[8.0 7.0],[9.0 7.0],[11.0 10.0],[4.0 6.0],[11.0 8.0],[7.0 8.0],[12.0 10.0],[5.0 4.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[10.0 8.0],[11.0 9.0],[12.0 10.0],[5.0 5.0],[9.0 9.0],[6.0 7.0],[15.0 14.0],[8.0 7.0],[9.0 6.0]]
[[8.0 6.0],[0.0 0.0],[7.0 9.0],[13.0 13.0],[4.0 6.0],[13.0 11.0],[5.0 7.0],[12.0 8.0],[5.0 5.0],[6.0 6.0]]
[[8.0 8.0],[12.0 11.0],[0.0 0.0],[9.0 11.0],[5.0 5.0],[10.0 13.0],[8.0 5.0],[15.0 12.0],[7.0 7.0],[10.0 8.0]]
[[8.0 6.0],[11.0 9.0],[11.0 8.0],[0.0 0.0],[6.0 4.0],[12.0 8.0],[8.0 6.0],[11.0 14.0],[7.0 5.0],[7.0 7.0]]
[[7.0 5.0],[9.0 12.0],[10.0 9.0],[9.0 15.0],[0.0 0.0],[10.0 8.0],[9.0 8.0],[13.0 10.0],[5.0 7.0],[6.0 9.0]]
[[7.0 7.0],[11.0 7.0],[7.0 9.0],[11.0 13.0],[6.0 4.0],[0.0 0.0],[5.0 7.0],[10.0 11.0],[6.0 4.0],[6.0 7.0]]
[[6.0 8.0],[11.0 9.0],[6.0 6.0],[9.0 13.0],[5.0 6.0],[12.0 14.0],[0.0 0.0],[8.0 8.0],[6.0 8.0],[9.0 5.0]]
