N = 10;
T = 14;
K = 1;
C = 73.0;
furnance = 2;
color = 1;
machines = [4];
products = [22 163 179 260 78 99 219 165 433 12];
MINik = [[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0]];
MAXik = [[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0]];
Pik = [[4.7109888],[3.648456],[4.9094136],[4.32054],[1.856232],[4.301337599999999],[2.63584944],[3.648456],[2.600325],[3.84048]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0],[0.0 0.0 0.0 0.0 0.0 0.0 59.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0]];
Sijk = [[[0.0],[7.0],[8.0],[12.0],[6.0],[12.0],[7.0],[8.0],[6.0],[12.0]]
[[14.0],[0.0],[12.0],[8.0],[6.0],[8.0],[7.0],[7.0],[5.0],[10.0]]
[[14.0],[11.0],[0.0],[10.0],[6.0],[8.0],[5.0],[7.0],[8.0],[8.0]]
[[15.0],[11.0],[11.0],[0.0],[6.0],[8.0],[5.0],[7.0],[8.0],[9.0]]
[[11.0],[11.0],[12.0],[13.0],[0.0],[9.0],[8.0],[8.0],[5.0],[11.0]]
[[14.0],[11.0],[12.0],[12.0],[5.0],[0.0],[8.0],[8.0],[8.0],[10.0]]
[[10.0],[7.0],[14.0],[11.0],[5.0],[12.0],[0.0],[7.0],[6.0],[12.0]]
[[13.0],[7.0],[11.0],[8.0],[5.0],[9.0],[6.0],[0.0],[8.0],[11.0]]
[[9.0],[9.0],[11.0],[14.0],[4.0],[9.0],[6.0],[11.0],[0.0],[13.0]]
[[11.0],[9.0],[14.0],[9.0],[6.0],[14.0],[6.0],[10.0],[5.0],[0.0]]];
Cijk = [[[0.0],[7.0],[8.0],[12.0],[6.0],[12.0],[7.0],[8.0],[6.0],[12.0]]
[[14.0],[0.0],[12.0],[8.0],[6.0],[8.0],[7.0],[7.0],[5.0],[10.0]]
[[14.0],[11.0],[0.0],[10.0],[6.0],[8.0],[5.0],[7.0],[8.0],[8.0]]
[[15.0],[11.0],[11.0],[0.0],[6.0],[8.0],[5.0],[7.0],[8.0],[9.0]]
[[11.0],[11.0],[12.0],[13.0],[0.0],[9.0],[8.0],[8.0],[5.0],[11.0]]
[[14.0],[11.0],[12.0],[12.0],[5.0],[0.0],[8.0],[8.0],[8.0],[10.0]]
[[10.0],[7.0],[14.0],[11.0],[5.0],[12.0],[0.0],[7.0],[6.0],[12.0]]
[[13.0],[7.0],[11.0],[8.0],[5.0],[9.0],[6.0],[0.0],[8.0],[11.0]]
[[9.0],[9.0],[11.0],[14.0],[4.0],[9.0],[6.0],[11.0],[0.0],[13.0]]
[[11.0],[9.0],[14.0],[9.0],[6.0],[14.0],[6.0],[10.0],[5.0],[0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
