N = 10;
T = 14;
K = 1;
C = 73.0;
furnance = 2;
color = 6;
machines = [4];
products = [11 257 160 111 139 175 183 158 23 117];
MINik = [[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0]];
MAXik = [[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0]];
Pik = [[3.84048],[3.52044],[4.1477184],[4.032504],[2.9379672],[3.648456],[3.744468],[2.88036],[3.7252656],[3.888486]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0]];
Sijk = [[[0.0],[10.0],[8.0],[10.0],[9.0],[7.0],[7.0],[5.0],[8.0],[12.0]]
[[11.0],[0.0],[7.0],[9.0],[9.0],[9.0],[7.0],[9.0],[10.0],[8.0]]
[[7.0],[11.0],[0.0],[10.0],[9.0],[9.0],[9.0],[7.0],[7.0],[12.0]]
[[8.0],[8.0],[8.0],[0.0],[6.0],[7.0],[8.0],[6.0],[7.0],[10.0]]
[[9.0],[7.0],[11.0],[13.0],[0.0],[9.0],[8.0],[8.0],[10.0],[8.0]]
[[9.0],[10.0],[12.0],[11.0],[10.0],[0.0],[12.0],[7.0],[8.0],[12.0]]
[[7.0],[8.0],[9.0],[12.0],[9.0],[10.0],[0.0],[7.0],[8.0],[9.0]]
[[11.0],[11.0],[8.0],[9.0],[7.0],[8.0],[12.0],[0.0],[10.0],[10.0]]
[[11.0],[7.0],[7.0],[8.0],[6.0],[9.0],[8.0],[7.0],[0.0],[8.0]]
[[8.0],[7.0],[10.0],[9.0],[7.0],[9.0],[8.0],[9.0],[10.0],[0.0]]];
Cijk = [[[0.0],[10.0],[8.0],[10.0],[9.0],[7.0],[7.0],[5.0],[8.0],[12.0]]
[[11.0],[0.0],[7.0],[9.0],[9.0],[9.0],[7.0],[9.0],[10.0],[8.0]]
[[7.0],[11.0],[0.0],[10.0],[9.0],[9.0],[9.0],[7.0],[7.0],[12.0]]
[[8.0],[8.0],[8.0],[0.0],[6.0],[7.0],[8.0],[6.0],[7.0],[10.0]]
[[9.0],[7.0],[11.0],[13.0],[0.0],[9.0],[8.0],[8.0],[10.0],[8.0]]
[[9.0],[10.0],[12.0],[11.0],[10.0],[0.0],[12.0],[7.0],[8.0],[12.0]]
[[7.0],[8.0],[9.0],[12.0],[9.0],[10.0],[0.0],[7.0],[8.0],[9.0]]
[[11.0],[11.0],[8.0],[9.0],[7.0],[8.0],[12.0],[0.0],[10.0],[10.0]]
[[11.0],[7.0],[7.0],[8.0],[6.0],[9.0],[8.0],[7.0],[0.0],[8.0]]
[[8.0],[7.0],[10.0],[9.0],[7.0],[9.0],[8.0],[9.0],[10.0],[0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
