N = 5;
T = 14;
K = 3;
C = 219.0;
furnance = 2;
color = 3;
machines = [4 5 6];
products = [224 10 233 238 66];
MINik = [[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0],[12.0 12.0 16.0]];
MAXik = [[16.0 16.0 0.0],[16.0 16.0 0.0],[16.0 16.0 20.0],[16.0 16.0 20.0],[16.0 16.0 20.0]];
Pik = [[4.32054 4.32054 4.32054],[3.84048 3.84048 3.84048],[3.00325536 3.00325536 3.00325536],[3.6292536 3.6292536 3.6292536],[2.8675584 2.8675584 2.8675584]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 165.0],[0.0 0.0 0.0 0.0 0.0 0.0 235.0 0.0 0.0 0.0 0.0 0.0 0.0 196.0],[0.0 0.0 0.0 0.0 0.0 0.0 144.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 162.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 239.0]];
Sijk = [[[0.0 0.0 0.0],[11.0 11.0 1.0E9],[7.0 8.0 10.0],[7.0 12.0 13.0],[8.0 9.0 8.0]]
[[8.0 10.0 1.0E9],[0.0 0.0 0.0],[10.0 8.0 9.0],[6.0 10.0 12.0],[9.0 5.0 9.0]]
[[10.0 8.0 1.0E9],[9.0 13.0 1.0E9],[0.0 0.0 0.0],[7.0 7.0 9.0],[7.0 6.0 7.0]]
[[10.0 11.0 1.0E9],[7.0 11.0 1.0E9],[9.0 8.0 10.0],[0.0 0.0 0.0],[8.0 6.0 7.0]]
[[13.0 14.0 1.0E9],[8.0 11.0 1.0E9],[6.0 8.0 10.0],[9.0 7.0 13.0],[0.0 0.0 0.0]]];
Cijk = [[[0.0 0.0 0.0],[11.0 11.0 1.0E9],[7.0 8.0 10.0],[7.0 12.0 13.0],[8.0 9.0 8.0]]
[[8.0 10.0 1.0E9],[0.0 0.0 0.0],[10.0 8.0 9.0],[6.0 10.0 12.0],[9.0 5.0 9.0]]
[[10.0 8.0 1.0E9],[9.0 13.0 1.0E9],[0.0 0.0 0.0],[7.0 7.0 9.0],[7.0 6.0 7.0]]
[[10.0 11.0 1.0E9],[7.0 11.0 1.0E9],[9.0 8.0 10.0],[0.0 0.0 0.0],[8.0 6.0 7.0]]
[[13.0 14.0 1.0E9],[8.0 11.0 1.0E9],[6.0 8.0 10.0],[9.0 7.0 13.0],[0.0 0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2];
