N = 10;
T = 14;
K = 2;
C = 146.0;
furnance = 2;
color = 6;
machines = [4 5];
products = [55 117 257 175 77 120 466 159 176 139];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[4.390948799999999 4.390948799999999],[3.888486 3.888486],[3.52044 3.52044],[3.648456 3.648456],[1.856232 1.856232],[2.88036 2.88036],[4.4933616 4.4933616],[4.390948799999999 4.390948799999999],[4.3781472 4.3781472],[2.9379672 2.9379672]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 82.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 83.0 0.0 0.0 0.0 0.0 0.0 0.0 83.0],[0.0 0.0 0.0 0.0 0.0 0.0 81.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0]];
Sijk = [[[0.0 0.0],[11.0 10.0],[7.0 9.0],[9.0 7.0],[6.0 5.0],[5.0 9.0],[13.0 14.0],[8.0 12.0],[9.0 9.0],[7.0 9.0]]
[[11.0 11.0],[0.0 0.0],[11.0 10.0],[7.0 8.0],[3.0 6.0],[6.0 6.0],[10.0 12.0],[11.0 10.0],[8.0 9.0],[9.0 9.0]]
[[10.0 14.0],[12.0 12.0],[0.0 0.0],[8.0 11.0],[4.0 5.0],[8.0 6.0],[9.0 9.0],[9.0 12.0],[8.0 13.0],[9.0 10.0]]
[[8.0 13.0],[12.0 9.0],[9.0 7.0],[0.0 0.0],[6.0 3.0],[8.0 7.0],[13.0 8.0],[8.0 13.0],[8.0 14.0],[8.0 10.0]]
[[13.0 13.0],[12.0 12.0],[9.0 10.0],[7.0 12.0],[0.0 0.0],[8.0 9.0],[14.0 12.0],[11.0 11.0],[10.0 8.0],[6.0 5.0]]
[[15.0 12.0],[10.0 10.0],[7.0 10.0],[9.0 7.0],[4.0 4.0],[0.0 0.0],[8.0 11.0],[11.0 14.0],[12.0 12.0],[7.0 7.0]]
[[11.0 12.0],[7.0 11.0],[10.0 10.0],[10.0 10.0],[5.0 5.0],[9.0 8.0],[0.0 0.0],[8.0 11.0],[11.0 10.0],[9.0 8.0]]
