N = 10;
T = 7;
K = 2;
C = 146.0;
furnance = 2;
color = 5;
machines = [4 5];
products = [228 227 249 203 499 79 34 42 453 58];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[2.5059132 2.5059132],[3.13383168 3.13383168],[3.1011876000000003 3.1011876000000003],[3.744468 3.744468],[2.5571196 2.5571196],[2.9699712000000003 2.9699712000000003],[3.1619952000000002 3.1619952000000002],[3.6868608000000003 3.6868608000000003],[2.8227528 2.8227528],[3.6868608000000003 3.6868608000000003]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 64.0],[0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 32.0],[0.0 0.0 0.0 0.0 0.0 0.0 81.0],[0.0 0.0 0.0 0.0 0.0 0.0 80.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0]];
Sijk = [[[0.0 0.0],[6.0 9.0],[6.0 6.0],[8.0 12.0],[6.0 9.0],[8.0 7.0],[8.0 7.0],[10.0 9.0],[6.0 7.0],[7.0 7.0]]
[[7.0 7.0],[0.0 0.0],[10.0 7.0],[10.0 7.0],[8.0 7.0],[8.0 5.0],[9.0 6.0],[7.0 7.0],[6.0 9.0],[8.0 9.0]]
[[6.0 5.0],[8.0 10.0],[0.0 0.0],[7.0 8.0],[8.0 8.0],[7.0 6.0],[6.0 8.0],[11.0 8.0],[6.0 9.0],[8.0 9.0]]
[[8.0 6.0],[8.0 7.0],[7.0 7.0],[0.0 0.0],[7.0 5.0],[8.0 7.0],[7.0 6.0],[9.0 7.0],[9.0 9.0],[9.0 11.0]]
[[7.0 5.0],[8.0 9.0],[7.0 9.0],[7.0 7.0],[0.0 0.0],[7.0 9.0],[8.0 9.0],[8.0 7.0],[5.0 9.0],[12.0 7.0]]
[[7.0 6.0],[8.0 6.0],[9.0 7.0],[10.0 10.0],[7.0 6.0],[0.0 0.0],[6.0 10.0],[7.0 8.0],[5.0 8.0],[12.0 10.0]]
[[8.0 6.0],[10.0 8.0],[7.0 6.0],[9.0 10.0],[5.0 6.0],[7.0 6.0],[0.0 0.0],[8.0 7.0],[5.0 9.0],[7.0 12.0]]
[[8.0 7.0],[7.0 9.0],[9.0 8.0],[10.0 7.0],[6.0 9.0],[8.0 7.0],[10.0 8.0],[0.0 0.0],[9.0 9.0],[12.0 12.0]]
[[5.0 5.0],[10.0 6.0],[10.0 7.0],[9.0 9.0],[5.0 8.0],[10.0 9.0],[8.0 9.0],[7.0 12.0],[0.0 0.0],[8.0 12.0]]
[[8.0 7.0],[10.0 10.0],[6.0 7.0],[8.0 11.0],[8.0 6.0],[10.0 6.0],[6.0 10.0],[9.0 11.0],[8.0 6.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[6.0 9.0],[6.0 6.0],[8.0 12.0],[6.0 9.0],[8.0 7.0],[8.0 7.0],[10.0 9.0],[6.0 7.0],[7.0 7.0]]
[[7.0 7.0],[0.0 0.0],[10.0 7.0],[10.0 7.0],[8.0 7.0],[8.0 5.0],[9.0 6.0],[7.0 7.0],[6.0 9.0],[8.0 9.0]]
[[6.0 5.0],[8.0 10.0],[0.0 0.0],[7.0 8.0],[8.0 8.0],[7.0 6.0],[6.0 8.0],[11.0 8.0],[6.0 9.0],[8.0 9.0]]
[[8.0 6.0],[8.0 7.0],[7.0 7.0],[0.0 0.0],[7.0 5.0],[8.0 7.0],[7.0 6.0],[9.0 7.0],[9.0 9.0],[9.0 11.0]]
[[7.0 5.0],[8.0 9.0],[7.0 9.0],[7.0 7.0],[0.0 0.0],[7.0 9.0],[8.0 9.0],[8.0 7.0],[5.0 9.0],[12.0 7.0]]
[[7.0 6.0],[8.0 6.0],[9.0 7.0],[10.0 10.0],[7.0 6.0],[0.0 0.0],[6.0 10.0],[7.0 8.0],[5.0 8.0],[12.0 10.0]]
[[8.0 6.0],[10.0 8.0],[7.0 6.0],[9.0 10.0],[5.0 6.0],[7.0 6.0],[0.0 0.0],[8.0 7.0],[5.0 9.0],[7.0 12.0]]
[[8.0 7.0],[7.0 9.0],[9.0 8.0],[10.0 7.0],[6.0 9.0],[8.0 7.0],[10.0 8.0],[0.0 0.0],[9.0 9.0],[12.0 12.0]]
[[5.0 5.0],[10.0 6.0],[10.0 7.0],[9.0 9.0],[5.0 8.0],[10.0 9.0],[8.0 9.0],[7.0 12.0],[0.0 0.0],[8.0 12.0]]
[[8.0 7.0],[10.0 10.0],[6.0 7.0],[8.0 11.0],[8.0 6.0],[10.0 6.0],[6.0 10.0],[9.0 11.0],[8.0 6.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
