N = 7;
T = 7;
K = 1;
C = 73.0;
furnance = 2;
color = 3;
machines = [4];
products = [10 222 13 235 243 21 244];
MINik = [[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0]];
MAXik = [[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0]];
Pik = [[3.84048],[4.176522],[3.84048],[3.1916949119999996],[3.3460182],[4.7109888],[3.3460182]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0]];
Sijk = [[[0.0],[9.0],[11.0],[10.0],[10.0],[9.0],[7.0]]
[[11.0],[0.0],[10.0],[6.0],[8.0],[13.0],[9.0]]
[[9.0],[7.0],[0.0],[9.0],[7.0],[9.0],[7.0]]
[[8.0],[12.0],[7.0],[0.0],[10.0],[8.0],[8.0]]
[[7.0],[8.0],[11.0],[7.0],[0.0],[14.0],[10.0]]
[[10.0],[11.0],[9.0],[7.0],[11.0],[0.0],[8.0]]
[[12.0],[12.0],[13.0],[10.0],[6.0],[13.0],[0.0]]];
Cijk = [[[0.0],[9.0],[11.0],[10.0],[10.0],[9.0],[7.0]]
[[11.0],[0.0],[10.0],[6.0],[8.0],[13.0],[9.0]]
[[9.0],[7.0],[0.0],[9.0],[7.0],[9.0],[7.0]]
[[8.0],[12.0],[7.0],[0.0],[10.0],[8.0],[8.0]]
[[7.0],[8.0],[11.0],[7.0],[0.0],[14.0],[10.0]]
[[10.0],[11.0],[9.0],[7.0],[11.0],[0.0],[8.0]]
[[12.0],[12.0],[13.0],[10.0],[6.0],[13.0],[0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2];
