N = 7;
T = 7;
K = 1;
C = 73.0;
furnance = 2;
color = 5;
machines = [4];
products = [174 513 203 462 59 42 444];
MINik = [[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0]];
MAXik = [[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0]];
Pik = [[3.648456],[4.435114319999999],[3.744468],[4.390948799999999],[3.456432],[3.6868608000000003],[2.16027]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 46.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 27.0]];
Sijk = [[[0.0],[13.0],[8.0],[10.0],[8.0],[7.0],[4.0]]
[[11.0],[0.0],[8.0],[8.0],[9.0],[7.0],[7.0]]
[[8.0],[8.0],[0.0],[9.0],[7.0],[11.0],[6.0]]
[[9.0],[11.0],[12.0],[0.0],[9.0],[10.0],[5.0]]
[[11.0],[11.0],[7.0],[10.0],[0.0],[9.0],[6.0]]
[[7.0],[14.0],[11.0],[12.0],[11.0],[0.0],[5.0]]
[[9.0],[10.0],[8.0],[8.0],[11.0],[11.0],[0.0]]];
Cijk = [[[0.0],[13.0],[8.0],[10.0],[8.0],[7.0],[4.0]]
[[11.0],[0.0],[8.0],[8.0],[9.0],[7.0],[7.0]]
[[8.0],[8.0],[0.0],[9.0],[7.0],[11.0],[6.0]]
[[9.0],[11.0],[12.0],[0.0],[9.0],[10.0],[5.0]]
[[11.0],[11.0],[7.0],[10.0],[0.0],[9.0],[6.0]]
[[7.0],[14.0],[11.0],[12.0],[11.0],[0.0],[5.0]]
[[9.0],[10.0],[8.0],[8.0],[11.0],[11.0],[0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2];
