N = 10;
T = 7;
K = 2;
C = 146.0;
furnance = 2;
color = 6;
machines = [4 5];
products = [183 8 182 160 3 117 120 257 466 77];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[3.744468 3.744468],[3.36042 3.36042],[4.1541192 4.1541192],[4.1477184 4.1477184],[3.7739116800000003 3.7739116800000003],[3.888486 3.888486],[2.88036 2.88036],[3.52044 3.52044],[4.4933616 4.4933616],[1.856232 1.856232]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 83.0],[0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 82.0],[0.0 0.0 0.0 0.0 0.0 0.0 23.0]];
Sijk = [[[0.0 0.0],[6.0 7.0],[12.0 8.0],[8.0 11.0],[12.0 10.0],[7.0 8.0],[8.0 10.0],[9.0 11.0],[12.0 12.0],[4.0 5.0]]
[[9.0 11.0],[0.0 0.0],[12.0 10.0],[11.0 10.0],[12.0 8.0],[8.0 11.0],[7.0 7.0],[12.0 11.0],[10.0 11.0],[5.0 4.0]]
[[7.0 11.0],[6.0 11.0],[0.0 0.0],[14.0 12.0],[8.0 7.0],[8.0 11.0],[6.0 7.0],[7.0 9.0],[13.0 9.0],[5.0 4.0]]
[[11.0 9.0],[7.0 10.0],[9.0 14.0],[0.0 0.0],[10.0 12.0],[9.0 9.0],[7.0 7.0],[8.0 7.0],[9.0 14.0],[4.0 6.0]]
[[7.0 7.0],[7.0 10.0],[13.0 13.0],[11.0 11.0],[0.0 0.0],[13.0 9.0],[7.0 6.0],[9.0 11.0],[14.0 10.0],[3.0 5.0]]
[[10.0 9.0],[10.0 10.0],[10.0 13.0],[8.0 11.0],[9.0 11.0],[0.0 0.0],[5.0 10.0],[7.0 6.0],[15.0 9.0],[5.0 4.0]]
[[8.0 7.0],[10.0 10.0],[11.0 13.0],[13.0 12.0],[11.0 9.0],[9.0 13.0],[0.0 0.0],[9.0 9.0],[11.0 8.0],[6.0 6.0]]
[[11.0 8.0],[10.0 11.0],[10.0 12.0],[11.0 9.0],[12.0 12.0],[11.0 11.0],[6.0 9.0],[0.0 0.0],[11.0 15.0],[6.0 4.0]]
[[8.0 8.0],[11.0 11.0],[9.0 10.0],[11.0 9.0],[11.0 7.0],[10.0 13.0],[9.0 8.0],[6.0 10.0],[0.0 0.0],[4.0 4.0]]
[[10.0 10.0],[7.0 7.0],[12.0 11.0],[11.0 13.0],[8.0 9.0],[12.0 8.0],[9.0 6.0],[10.0 8.0],[13.0 14.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[6.0 7.0],[12.0 8.0],[8.0 11.0],[12.0 10.0],[7.0 8.0],[8.0 10.0],[9.0 11.0],[12.0 12.0],[4.0 5.0]]
[[9.0 11.0],[0.0 0.0],[12.0 10.0],[11.0 10.0],[12.0 8.0],[8.0 11.0],[7.0 7.0],[12.0 11.0],[10.0 11.0],[5.0 4.0]]
[[7.0 11.0],[6.0 11.0],[0.0 0.0],[14.0 12.0],[8.0 7.0],[8.0 11.0],[6.0 7.0],[7.0 9.0],[13.0 9.0],[5.0 4.0]]
[[11.0 9.0],[7.0 10.0],[9.0 14.0],[0.0 0.0],[10.0 12.0],[9.0 9.0],[7.0 7.0],[8.0 7.0],[9.0 14.0],[4.0 6.0]]
[[7.0 7.0],[7.0 10.0],[13.0 13.0],[11.0 11.0],[0.0 0.0],[13.0 9.0],[7.0 6.0],[9.0 11.0],[14.0 10.0],[3.0 5.0]]
[[10.0 9.0],[10.0 10.0],[10.0 13.0],[8.0 11.0],[9.0 11.0],[0.0 0.0],[5.0 10.0],[7.0 6.0],[15.0 9.0],[5.0 4.0]]
[[8.0 7.0],[10.0 10.0],[11.0 13.0],[13.0 12.0],[11.0 9.0],[9.0 13.0],[0.0 0.0],[9.0 9.0],[11.0 8.0],[6.0 6.0]]
[[11.0 8.0],[10.0 11.0],[10.0 12.0],[11.0 9.0],[12.0 12.0],[11.0 11.0],[6.0 9.0],[0.0 0.0],[11.0 15.0],[6.0 4.0]]
[[8.0 8.0],[11.0 11.0],[9.0 10.0],[11.0 9.0],[11.0 7.0],[10.0 13.0],[9.0 8.0],[6.0 10.0],[0.0 0.0],[4.0 4.0]]
[[10.0 10.0],[7.0 7.0],[12.0 11.0],[11.0 13.0],[8.0 9.0],[12.0 8.0],[9.0 6.0],[10.0 8.0],[13.0 14.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
