N = 10;
T = 14;
K = 1;
C = 73.0;
furnance = 2;
color = 5;
machines = [4];
products = [414 459 403 417 264 34 192 36 437 510];
MINik = [[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0]];
MAXik = [[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0]];
Pik = [[3.84048],[4.032504],[2.9379672],[3.456432],[3.9940992000000004],[3.1619952000000002],[3.4820352000000003],[3.3796223999999997],[4.4149518],[3.98897856]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0]];
Sijk = [[[0.0],[8.0],[7.0],[11.0],[9.0],[7.0],[8.0],[10.0],[9.0],[11.0]]
[[12.0],[0.0],[7.0],[8.0],[12.0],[7.0],[7.0],[10.0],[9.0],[7.0]]
[[11.0],[12.0],[0.0],[9.0],[12.0],[10.0],[10.0],[11.0],[13.0],[7.0]]
[[7.0],[9.0],[9.0],[0.0],[8.0],[6.0],[10.0],[9.0],[8.0],[10.0]]
[[8.0],[9.0],[6.0],[7.0],[0.0],[10.0],[10.0],[11.0],[14.0],[8.0]]
[[8.0],[9.0],[6.0],[10.0],[12.0],[0.0],[11.0],[6.0],[8.0],[10.0]]
[[12.0],[12.0],[10.0],[9.0],[7.0],[10.0],[0.0],[10.0],[14.0],[8.0]]
[[12.0],[7.0],[7.0],[11.0],[8.0],[8.0],[7.0],[0.0],[14.0],[9.0]]
[[10.0],[13.0],[6.0],[10.0],[8.0],[6.0],[10.0],[6.0],[0.0],[9.0]]
[[9.0],[9.0],[6.0],[7.0],[13.0],[6.0],[10.0],[6.0],[13.0],[0.0]]];
Cijk = [[[0.0],[8.0],[7.0],[11.0],[9.0],[7.0],[8.0],[10.0],[9.0],[11.0]]
[[12.0],[0.0],[7.0],[8.0],[12.0],[7.0],[7.0],[10.0],[9.0],[7.0]]
[[11.0],[12.0],[0.0],[9.0],[12.0],[10.0],[10.0],[11.0],[13.0],[7.0]]
[[7.0],[9.0],[9.0],[0.0],[8.0],[6.0],[10.0],[9.0],[8.0],[10.0]]
[[8.0],[9.0],[6.0],[7.0],[0.0],[10.0],[10.0],[11.0],[14.0],[8.0]]
[[8.0],[9.0],[6.0],[10.0],[12.0],[0.0],[11.0],[6.0],[8.0],[10.0]]
[[12.0],[12.0],[10.0],[9.0],[7.0],[10.0],[0.0],[10.0],[14.0],[8.0]]
[[12.0],[7.0],[7.0],[11.0],[8.0],[8.0],[7.0],[0.0],[14.0],[9.0]]
[[10.0],[13.0],[6.0],[10.0],[8.0],[6.0],[10.0],[6.0],[0.0],[9.0]]
[[9.0],[9.0],[6.0],[7.0],[13.0],[6.0],[10.0],[6.0],[13.0],[0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
