N = 5;
T = 14;
K = 5;
C = 365.0;
furnance = 2;
color = 2;
machines = [4 5 6 7 8];
products = [167 109 418 126 430];
MINik = [[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0],[12.0 12.0 16.0 12.0 12.0]];
MAXik = [[16.0 16.0 0.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0],[16.0 16.0 20.0 20.0 20.0]];
Pik = [[4.576572 4.576572 4.576572 4.576572 4.576572],[1.12014 1.12014 1.12014 1.12014 1.12014],[4.4933616 4.4933616 4.4933616 4.4933616 4.4933616],[2.5616001600000002 2.5616001600000002 2.5616001600000002 2.5616001600000002 2.5616001600000002],[2.9571696000000003 2.9571696000000003 2.9571696000000003 2.9571696000000003 2.9571696000000003]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 409.0 0.0 0.0 0.0 0.0 0.0 0.0 205.0],[0.0 0.0 0.0 0.0 0.0 0.0 86.0 0.0 0.0 0.0 0.0 0.0 0.0 243.0],[0.0 0.0 0.0 0.0 0.0 0.0 402.0 0.0 0.0 0.0 0.0 0.0 0.0 57.0],[0.0 0.0 0.0 0.0 0.0 0.0 172.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 255.0 0.0 0.0 0.0 0.0 0.0 0.0 407.0]];
Sijk = [[[0.0 0.0 0.0 0.0 0.0],[4.0 4.0 3.0 4.0 3.0],[10.0 14.0 11.0 13.0 11.0],[8.0 8.0 10.0 9.0 8.0],[7.0 8.0 10.0 11.0 7.0]]
[[12.0 9.0 1.0E9 14.0 15.0],[0.0 0.0 0.0 0.0 0.0],[13.0 15.0 8.0 12.0 8.0],[8.0 7.0 9.0 10.0 10.0],[6.0 9.0 11.0 9.0 7.0]]
[[14.0 13.0 1.0E9 8.0 11.0],[3.0 3.0 3.0 4.0 3.0],[0.0 0.0 0.0 0.0 0.0],[8.0 9.0 7.0 7.0 8.0],[9.0 8.0 7.0 8.0 8.0]]
[[12.0 13.0 1.0E9 12.0 12.0],[3.0 3.0 3.0 4.0 3.0],[9.0 8.0 13.0 14.0 9.0],[0.0 0.0 0.0 0.0 0.0],[8.0 7.0 12.0 11.0 7.0]]
[[12.0 14.0 1.0E9 9.0 12.0],[2.0 3.0 5.0 4.0 3.0],[14.0 12.0 11.0 10.0 14.0],[8.0 8.0 7.0 8.0 7.0],[0.0 0.0 0.0 0.0 0.0]]];
Cijk = [[[0.0 0.0 0.0 0.0 0.0],[4.0 4.0 3.0 4.0 3.0],[10.0 14.0 11.0 13.0 11.0],[8.0 8.0 10.0 9.0 8.0],[7.0 8.0 10.0 11.0 7.0]]
[[12.0 9.0 1.0E9 14.0 15.0],[0.0 0.0 0.0 0.0 0.0],[13.0 15.0 8.0 12.0 8.0],[8.0 7.0 9.0 10.0 10.0],[6.0 9.0 11.0 9.0 7.0]]
[[14.0 13.0 1.0E9 8.0 11.0],[3.0 3.0 3.0 4.0 3.0],[0.0 0.0 0.0 0.0 0.0],[8.0 9.0 7.0 7.0 8.0],[9.0 8.0 7.0 8.0 8.0]]
[[12.0 13.0 1.0E9 12.0 12.0],[3.0 3.0 3.0 4.0 3.0],[9.0 8.0 13.0 14.0 9.0],[0.0 0.0 0.0 0.0 0.0],[8.0 7.0 12.0 11.0 7.0]]
[[12.0 14.0 1.0E9 9.0 12.0],[2.0 3.0 5.0 4.0 3.0],[14.0 12.0 11.0 10.0 14.0],[8.0 8.0 7.0 8.0 7.0],[0.0 0.0 0.0 0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2];
