N = 10;
T = 14;
K = 2;
C = 146.0;
furnance = 2;
color = 3;
machines = [4 5];
products = [243 244 222 10 233 231 230 21 185 14];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
MAXik = [[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0],[16.0 16.0]];
Pik = [[3.3460182 3.3460182],[3.3460182 3.3460182],[4.176522 4.176522],[3.84048 3.84048],[3.00325536 3.00325536],[3.3591398399999997 3.3591398399999997],[3.2452056000000002 3.2452056000000002],[4.7109888 4.7109888],[3.8276784 3.8276784],[3.84048 3.84048]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 81.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 83.0],[0.0 0.0 0.0 0.0 0.0 0.0 83.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 81.0],[0.0 0.0 0.0 0.0 0.0 0.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0]];
Sijk = [[[0.0 0.0],[7.0 11.0],[13.0 14.0],[12.0 12.0],[6.0 8.0],[8.0 8.0],[8.0 9.0],[12.0 15.0],[12.0 13.0],[12.0 7.0]]
[[9.0 9.0],[0.0 0.0],[7.0 9.0],[7.0 9.0],[8.0 10.0],[10.0 8.0],[7.0 9.0],[13.0 10.0],[11.0 7.0],[8.0 11.0]]
[[7.0 10.0],[10.0 9.0],[0.0 0.0],[9.0 8.0],[10.0 8.0],[10.0 6.0],[7.0 7.0],[15.0 13.0],[12.0 13.0],[8.0 8.0]]
[[7.0 11.0],[6.0 9.0],[11.0 10.0],[0.0 0.0],[10.0 5.0],[6.0 7.0],[8.0 6.0],[13.0 11.0],[10.0 8.0],[12.0 11.0]]
[[10.0 8.0],[6.0 9.0],[12.0 9.0],[11.0 10.0],[0.0 0.0],[10.0 8.0],[10.0 9.0],[9.0 14.0],[9.0 12.0],[11.0 9.0]]
[[10.0 7.0],[8.0 8.0],[8.0 14.0],[12.0 7.0],[5.0 6.0],[0.0 0.0],[7.0 6.0],[12.0 10.0],[7.0 11.0],[12.0 10.0]]
[[11.0 10.0],[9.0 8.0],[8.0 8.0],[11.0 9.0],[9.0 5.0],[7.0 9.0],[0.0 0.0],[14.0 13.0],[11.0 8.0],[9.0 13.0]]
[[9.0 9.0],[11.0 11.0],[8.0 10.0],[7.0 11.0],[10.0 9.0],[10.0 7.0],[8.0 8.0],[0.0 0.0],[10.0 11.0],[13.0 7.0]]
[[9.0 11.0],[10.0 9.0],[12.0 7.0],[11.0 11.0],[9.0 8.0],[10.0 7.0],[10.0 8.0],[12.0 8.0],[0.0 0.0],[8.0 8.0]]
[[6.0 10.0],[8.0 8.0],[13.0 13.0],[9.0 11.0],[10.0 10.0],[9.0 11.0],[7.0 8.0],[11.0 13.0],[12.0 12.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[7.0 11.0],[13.0 14.0],[12.0 12.0],[6.0 8.0],[8.0 8.0],[8.0 9.0],[12.0 15.0],[12.0 13.0],[12.0 7.0]]
[[9.0 9.0],[0.0 0.0],[7.0 9.0],[7.0 9.0],[8.0 10.0],[10.0 8.0],[7.0 9.0],[13.0 10.0],[11.0 7.0],[8.0 11.0]]
[[7.0 10.0],[10.0 9.0],[0.0 0.0],[9.0 8.0],[10.0 8.0],[10.0 6.0],[7.0 7.0],[15.0 13.0],[12.0 13.0],[8.0 8.0]]
[[7.0 11.0],[6.0 9.0],[11.0 10.0],[0.0 0.0],[10.0 5.0],[6.0 7.0],[8.0 6.0],[13.0 11.0],[10.0 8.0],[12.0 11.0]]
