N = 10;
T = 14;
K = 1;
C = 73.0;
furnance = 2;
color = 2;
machines = [4];
products = [157 173 195 136 467 71 465 202 187 413];
MINik = [[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0],[12.0]];
MAXik = [[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0],[16.0]];
Pik = [[2.88036],[4.3781472],[4.4933616],[2.784348],[4.4933616],[2.0066508],[4.4933616],[4.928616],[3.6868608000000003],[4.3781472]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 48.0],[0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]];
Sijk = [[[0.0],[11.0],[14.0],[6.0],[12.0],[4.0],[14.0],[9.0],[6.0],[8.0]]
[[8.0],[0.0],[8.0],[6.0],[14.0],[4.0],[9.0],[8.0],[11.0],[14.0]]
[[7.0],[9.0],[0.0],[5.0],[14.0],[4.0],[13.0],[10.0],[10.0],[13.0]]
[[6.0],[10.0],[11.0],[0.0],[15.0],[6.0],[10.0],[10.0],[7.0],[8.0]]
[[5.0],[14.0],[10.0],[6.0],[0.0],[5.0],[15.0],[9.0],[9.0],[10.0]]
[[5.0],[12.0],[9.0],[6.0],[10.0],[0.0],[8.0],[8.0],[10.0],[12.0]]
[[7.0],[11.0],[11.0],[6.0],[12.0],[7.0],[0.0],[10.0],[12.0],[12.0]]
[[7.0],[12.0],[14.0],[6.0],[14.0],[6.0],[12.0],[0.0],[12.0],[12.0]]
[[7.0],[10.0],[12.0],[8.0],[13.0],[6.0],[12.0],[15.0],[0.0],[14.0]]
[[6.0],[13.0],[12.0],[9.0],[11.0],[6.0],[12.0],[12.0],[7.0],[0.0]]];
Cijk = [[[0.0],[11.0],[14.0],[6.0],[12.0],[4.0],[14.0],[9.0],[6.0],[8.0]]
[[8.0],[0.0],[8.0],[6.0],[14.0],[4.0],[9.0],[8.0],[11.0],[14.0]]
[[7.0],[9.0],[0.0],[5.0],[14.0],[4.0],[13.0],[10.0],[10.0],[13.0]]
[[6.0],[10.0],[11.0],[0.0],[15.0],[6.0],[10.0],[10.0],[7.0],[8.0]]
[[5.0],[14.0],[10.0],[6.0],[0.0],[5.0],[15.0],[9.0],[9.0],[10.0]]
[[5.0],[12.0],[9.0],[6.0],[10.0],[0.0],[8.0],[8.0],[10.0],[12.0]]
[[7.0],[11.0],[11.0],[6.0],[12.0],[7.0],[0.0],[10.0],[12.0],[12.0]]
[[7.0],[12.0],[14.0],[6.0],[14.0],[6.0],[12.0],[0.0],[12.0],[12.0]]
[[7.0],[10.0],[12.0],[8.0],[13.0],[6.0],[12.0],[15.0],[0.0],[14.0]]
[[6.0],[13.0],[12.0],[9.0],[11.0],[6.0],[12.0],[12.0],[7.0],[0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
