N = 13;
T = 28;
K = 2;
C = 130.0;
furnance = 3;
color = 2;
machines = [9 10];
products = [53 71 73 109 126 130 136 146 157 240 418 423 430];
MINik = [[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0]];
MAXik = [[20.0 0.0],[20.0 0.0],[20.0 0.0],[20.0 0.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 0.0],[20.0 0.0],[20.0 0.0],[20.0 0.0],[20.0 20.0]];
Pik = [[1.378944 1.378944],[2.03148 2.03148],[2.1546 2.1546],[1.134 1.134],[2.593296 2.593296],[2.68272 2.68272],[2.8188 2.8188],[2.1384 2.1384],[2.916 2.916],[3.2486184000000002 3.2486184000000002],[4.54896 4.54896],[4.54896 4.54896],[2.99376 2.99376]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 32.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 57.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0]];
Sijk = [[[0.0 0.0],[5.0 1.0E9],[8.0 1.0E9],[5.0 1.0E9],[10.0 10.0],[9.0 7.0],[9.0 9.0],[8.0 7.0],[8.0 1.0E9],[13.0 1.0E9],[13.0 1.0E9],[11.0 1.0E9],[10.0 8.0]]
[[4.0 1.0E9],[0.0 0.0],[5.0 1.0E9],[4.0 1.0E9],[7.0 8.0],[7.0 6.0],[6.0 8.0],[7.0 8.0],[10.0 1.0E9],[9.0 1.0E9],[12.0 1.0E9],[9.0 1.0E9],[8.0 10.0]]
[[5.0 1.0E9],[8.0 1.0E9],[0.0 0.0],[4.0 1.0E9],[7.0 10.0],[8.0 8.0],[10.0 7.0],[7.0 8.0],[12.0 1.0E9],[7.0 1.0E9],[12.0 1.0E9],[11.0 1.0E9],[8.0 7.0]]
[[5.0 1.0E9],[6.0 1.0E9],[7.0 1.0E9],[0.0 0.0],[9.0 7.0],[10.0 11.0],[10.0 8.0],[5.0 6.0],[7.0 1.0E9],[12.0 1.0E9],[11.0 1.0E9],[8.0 1.0E9],[11.0 7.0]]
[[6.0 1.0E9],[7.0 1.0E9],[7.0 1.0E9],[3.0 1.0E9],[0.0 0.0],[8.0 8.0],[9.0 8.0],[5.0 8.0],[9.0 1.0E9],[11.0 1.0E9],[8.0 1.0E9],[11.0 1.0E9],[7.0 10.0]]
[[5.0 1.0E9],[8.0 1.0E9],[8.0 1.0E9],[4.0 1.0E9],[9.0 11.0],[0.0 0.0],[9.0 9.0],[7.0 9.0],[9.0 1.0E9],[13.0 1.0E9],[10.0 1.0E9],[8.0 1.0E9],[10.0 7.0]]
[[4.0 1.0E9],[5.0 1.0E9],[8.0 1.0E9],[4.0 1.0E9],[8.0 8.0],[6.0 7.0],[0.0 0.0],[5.0 7.0],[11.0 1.0E9],[7.0 1.0E9],[8.0 1.0E9],[11.0 1.0E9],[12.0 11.0]]
[[4.0 1.0E9],[7.0 1.0E9],[7.0 1.0E9],[5.0 1.0E9],[8.0 8.0],[10.0 10.0],[7.0 9.0],[0.0 0.0],[11.0 1.0E9],[13.0 1.0E9],[11.0 1.0E9],[8.0 1.0E9],[11.0 12.0]]
[[3.0 1.0E9],[6.0 1.0E9],[8.0 1.0E9],[4.0 1.0E9],[8.0 7.0],[9.0 9.0],[10.0 10.0],[8.0 5.0],[0.0 0.0],[8.0 1.0E9],[9.0 1.0E9],[9.0 1.0E9],[10.0 9.0]]
[[6.0 1.0E9],[7.0 1.0E9],[5.0 1.0E9],[3.0 1.0E9],[9.0 10.0],[10.0 10.0],[9.0 10.0],[8.0 8.0],[9.0 1.0E9],[0.0 0.0],[10.0 1.0E9],[13.0 1.0E9],[11.0 12.0]]
[[3.0 1.0E9],[8.0 1.0E9],[7.0 1.0E9],[4.0 1.0E9],[6.0 8.0],[11.0 8.0],[9.0 8.0],[6.0 7.0],[12.0 1.0E9],[12.0 1.0E9],[0.0 0.0],[10.0 1.0E9],[12.0 9.0]]
[[5.0 1.0E9],[5.0 1.0E9],[9.0 1.0E9],[4.0 1.0E9],[10.0 6.0],[7.0 7.0],[10.0 11.0],[5.0 8.0],[10.0 1.0E9],[12.0 1.0E9],[12.0 1.0E9],[0.0 0.0],[11.0 12.0]]
[[6.0 1.0E9],[7.0 1.0E9],[6.0 1.0E9],[3.0 1.0E9],[10.0 7.0],[8.0 7.0],[10.0 11.0],[7.0 5.0],[7.0 1.0E9],[8.0 1.0E9],[10.0 1.0E9],[11.0 1.0E9],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[5.0 1.0E9],[8.0 1.0E9],[5.0 1.0E9],[10.0 10.0],[9.0 7.0],[9.0 9.0],[8.0 7.0],[8.0 1.0E9],[13.0 1.0E9],[13.0 1.0E9],[11.0 1.0E9],[10.0 8.0]]
[[4.0 1.0E9],[0.0 0.0],[5.0 1.0E9],[4.0 1.0E9],[7.0 8.0],[7.0 6.0],[6.0 8.0],[7.0 8.0],[10.0 1.0E9],[9.0 1.0E9],[12.0 1.0E9],[9.0 1.0E9],[8.0 10.0]]
[[5.0 1.0E9],[8.0 1.0E9],[0.0 0.0],[4.0 1.0E9],[7.0 10.0],[8.0 8.0],[10.0 7.0],[7.0 8.0],[12.0 1.0E9],[7.0 1.0E9],[12.0 1.0E9],[11.0 1.0E9],[8.0 7.0]]
[[5.0 1.0E9],[6.0 1.0E9],[7.0 1.0E9],[0.0 0.0],[9.0 7.0],[10.0 11.0],[10.0 8.0],[5.0 6.0],[7.0 1.0E9],[12.0 1.0E9],[11.0 1.0E9],[8.0 1.0E9],[11.0 7.0]]
[[6.0 1.0E9],[7.0 1.0E9],[7.0 1.0E9],[3.0 1.0E9],[0.0 0.0],[8.0 8.0],[9.0 8.0],[5.0 8.0],[9.0 1.0E9],[11.0 1.0E9],[8.0 1.0E9],[11.0 1.0E9],[7.0 10.0]]
[[5.0 1.0E9],[8.0 1.0E9],[8.0 1.0E9],[4.0 1.0E9],[9.0 11.0],[0.0 0.0],[9.0 9.0],[7.0 9.0],[9.0 1.0E9],[13.0 1.0E9],[10.0 1.0E9],[8.0 1.0E9],[10.0 7.0]]
[[4.0 1.0E9],[5.0 1.0E9],[8.0 1.0E9],[4.0 1.0E9],[8.0 8.0],[6.0 7.0],[0.0 0.0],[5.0 7.0],[11.0 1.0E9],[7.0 1.0E9],[8.0 1.0E9],[11.0 1.0E9],[12.0 11.0]]
[[4.0 1.0E9],[7.0 1.0E9],[7.0 1.0E9],[5.0 1.0E9],[8.0 8.0],[10.0 10.0],[7.0 9.0],[0.0 0.0],[11.0 1.0E9],[13.0 1.0E9],[11.0 1.0E9],[8.0 1.0E9],[11.0 12.0]]
[[3.0 1.0E9],[6.0 1.0E9],[8.0 1.0E9],[4.0 1.0E9],[8.0 7.0],[9.0 9.0],[10.0 10.0],[8.0 5.0],[0.0 0.0],[8.0 1.0E9],[9.0 1.0E9],[9.0 1.0E9],[10.0 9.0]]
[[6.0 1.0E9],[7.0 1.0E9],[5.0 1.0E9],[3.0 1.0E9],[9.0 10.0],[10.0 10.0],[9.0 10.0],[8.0 8.0],[9.0 1.0E9],[0.0 0.0],[10.0 1.0E9],[13.0 1.0E9],[11.0 12.0]]
[[3.0 1.0E9],[8.0 1.0E9],[7.0 1.0E9],[4.0 1.0E9],[6.0 8.0],[11.0 8.0],[9.0 8.0],[6.0 7.0],[12.0 1.0E9],[12.0 1.0E9],[0.0 0.0],[10.0 1.0E9],[12.0 9.0]]
[[5.0 1.0E9],[5.0 1.0E9],[9.0 1.0E9],[4.0 1.0E9],[10.0 6.0],[7.0 7.0],[10.0 11.0],[5.0 8.0],[10.0 1.0E9],[12.0 1.0E9],[12.0 1.0E9],[0.0 0.0],[11.0 12.0]]
[[6.0 1.0E9],[7.0 1.0E9],[6.0 1.0E9],[3.0 1.0E9],[10.0 7.0],[8.0 7.0],[10.0 11.0],[7.0 5.0],[7.0 1.0E9],[8.0 1.0E9],[10.0 1.0E9],[11.0 1.0E9],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
