N = 9;
T = 14;
K = 2;
C = 130.0;
furnance = 3;
color = 1;
machines = [9 10];
products = [78 88 129 9 118 431 98 132 141];
MINik = [[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0]];
MAXik = [[20.0 0.0],[20.0 0.0],[20.0 20.0],[20.0 0.0],[20.0 0.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0]];
Pik = [[1.8792 1.8792],[3.84912 3.84912],[2.593296 2.593296],[3.402 3.402],[2.916 2.916],[2.99376 2.99376],[2.77992 2.77992],[2.61144 2.61144],[2.70864 2.70864]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0],[0.0 0.0 0.0 0.0 0.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 81.0],[0.0 0.0 0.0 0.0 0.0 0.0 79.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0]];
Sijk = [[[0.0 0.0],[9.0 1.0E9],[8.0 6.0],[10.0 1.0E9],[9.0 1.0E9],[8.0 12.0],[6.0 7.0],[11.0 9.0],[8.0 10.0]]
[[5.0 1.0E9],[0.0 0.0],[7.0 6.0],[7.0 1.0E9],[8.0 1.0E9],[11.0 8.0],[9.0 9.0],[10.0 8.0],[7.0 7.0]]
[[8.0 1.0E9],[13.0 1.0E9],[0.0 0.0],[10.0 1.0E9],[6.0 1.0E9],[12.0 7.0],[8.0 8.0],[8.0 9.0],[10.0 6.0]]
[[6.0 1.0E9],[12.0 1.0E9],[10.0 9.0],[0.0 0.0],[12.0 1.0E9],[11.0 9.0],[6.0 10.0],[8.0 9.0],[8.0 9.0]]
[[7.0 1.0E9],[9.0 1.0E9],[10.0 10.0],[12.0 1.0E9],[0.0 0.0],[11.0 12.0],[10.0 8.0],[11.0 6.0],[6.0 10.0]]
[[5.0 1.0E9],[11.0 1.0E9],[11.0 9.0],[8.0 1.0E9],[12.0 1.0E9],[0.0 0.0],[7.0 8.0],[6.0 6.0],[8.0 7.0]]
[[5.0 1.0E9],[10.0 1.0E9],[9.0 7.0],[12.0 1.0E9],[10.0 1.0E9],[10.0 10.0],[0.0 0.0],[10.0 6.0],[7.0 8.0]]
[[6.0 1.0E9],[10.0 1.0E9],[10.0 7.0],[8.0 1.0E9],[7.0 1.0E9],[7.0 11.0],[9.0 6.0],[0.0 0.0],[11.0 9.0]]
[[6.0 1.0E9],[10.0 1.0E9],[8.0 7.0],[11.0 1.0E9],[7.0 1.0E9],[11.0 7.0],[8.0 8.0],[6.0 11.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[9.0 1.0E9],[8.0 6.0],[10.0 1.0E9],[9.0 1.0E9],[8.0 12.0],[6.0 7.0],[11.0 9.0],[8.0 10.0]]
[[5.0 1.0E9],[0.0 0.0],[7.0 6.0],[7.0 1.0E9],[8.0 1.0E9],[11.0 8.0],[9.0 9.0],[10.0 8.0],[7.0 7.0]]
[[8.0 1.0E9],[13.0 1.0E9],[0.0 0.0],[10.0 1.0E9],[6.0 1.0E9],[12.0 7.0],[8.0 8.0],[8.0 9.0],[10.0 6.0]]
[[6.0 1.0E9],[12.0 1.0E9],[10.0 9.0],[0.0 0.0],[12.0 1.0E9],[11.0 9.0],[6.0 10.0],[8.0 9.0],[8.0 9.0]]
[[7.0 1.0E9],[9.0 1.0E9],[10.0 10.0],[12.0 1.0E9],[0.0 0.0],[11.0 12.0],[10.0 8.0],[11.0 6.0],[6.0 10.0]]
[[5.0 1.0E9],[11.0 1.0E9],[11.0 9.0],[8.0 1.0E9],[12.0 1.0E9],[0.0 0.0],[7.0 8.0],[6.0 6.0],[8.0 7.0]]
[[5.0 1.0E9],[10.0 1.0E9],[9.0 7.0],[12.0 1.0E9],[10.0 1.0E9],[10.0 10.0],[0.0 0.0],[10.0 6.0],[7.0 8.0]]
[[6.0 1.0E9],[10.0 1.0E9],[10.0 7.0],[8.0 1.0E9],[7.0 1.0E9],[7.0 11.0],[9.0 6.0],[0.0 0.0],[11.0 9.0]]
[[6.0 1.0E9],[10.0 1.0E9],[8.0 7.0],[11.0 1.0E9],[7.0 1.0E9],[11.0 7.0],[8.0 8.0],[6.0 11.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
