N = 8;
T = 14;
K = 2;
C = 130.0;
furnance = 3;
color = 2;
machines = [9 10];
products = [73 430 423 109 130 146 126 136];
MINik = [[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0]];
MAXik = [[20.0 0.0],[20.0 20.0],[20.0 0.0],[20.0 0.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0]];
Pik = [[2.1546 2.1546],[2.99376 2.99376],[4.54896 4.54896],[1.134 1.134],[2.68272 2.68272],[2.1384 2.1384],[2.593296 2.593296],[2.8188 2.8188]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0],[0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0],[0.0 0.0 0.0 0.0 0.0 0.0 90.0 0.0 0.0 0.0 0.0 0.0 0.0 91.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 91.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0]];
Sijk = [[[0.0 0.0],[11.0 10.0],[10.0 1.0E9],[5.0 1.0E9],[6.0 9.0],[8.0 7.0],[6.0 10.0],[9.0 6.0]]
[[6.0 1.0E9],[0.0 0.0],[11.0 1.0E9],[5.0 1.0E9],[10.0 7.0],[7.0 8.0],[7.0 7.0],[6.0 7.0]]
[[8.0 1.0E9],[7.0 8.0],[0.0 0.0],[4.0 1.0E9],[11.0 10.0],[7.0 6.0],[9.0 7.0],[10.0 10.0]]
[[6.0 1.0E9],[10.0 10.0],[8.0 1.0E9],[0.0 0.0],[8.0 6.0],[5.0 7.0],[8.0 8.0],[8.0 10.0]]
[[5.0 1.0E9],[8.0 10.0],[9.0 1.0E9],[4.0 1.0E9],[0.0 0.0],[9.0 7.0],[6.0 8.0],[10.0 12.0]]
[[6.0 1.0E9],[12.0 9.0],[12.0 1.0E9],[5.0 1.0E9],[8.0 7.0],[0.0 0.0],[8.0 10.0],[8.0 7.0]]
[[7.0 1.0E9],[11.0 8.0],[9.0 1.0E9],[4.0 1.0E9],[9.0 9.0],[6.0 5.0],[0.0 0.0],[8.0 12.0]]
[[5.0 1.0E9],[12.0 7.0],[9.0 1.0E9],[4.0 1.0E9],[7.0 6.0],[8.0 6.0],[10.0 10.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[11.0 10.0],[10.0 1.0E9],[5.0 1.0E9],[6.0 9.0],[8.0 7.0],[6.0 10.0],[9.0 6.0]]
[[6.0 1.0E9],[0.0 0.0],[11.0 1.0E9],[5.0 1.0E9],[10.0 7.0],[7.0 8.0],[7.0 7.0],[6.0 7.0]]
[[8.0 1.0E9],[7.0 8.0],[0.0 0.0],[4.0 1.0E9],[11.0 10.0],[7.0 6.0],[9.0 7.0],[10.0 10.0]]
[[6.0 1.0E9],[10.0 10.0],[8.0 1.0E9],[0.0 0.0],[8.0 6.0],[5.0 7.0],[8.0 8.0],[8.0 10.0]]
[[5.0 1.0E9],[8.0 10.0],[9.0 1.0E9],[4.0 1.0E9],[0.0 0.0],[9.0 7.0],[6.0 8.0],[10.0 12.0]]
[[6.0 1.0E9],[12.0 9.0],[12.0 1.0E9],[5.0 1.0E9],[8.0 7.0],[0.0 0.0],[8.0 10.0],[8.0 7.0]]
[[7.0 1.0E9],[11.0 8.0],[9.0 1.0E9],[4.0 1.0E9],[9.0 9.0],[6.0 5.0],[0.0 0.0],[8.0 12.0]]
[[5.0 1.0E9],[12.0 7.0],[9.0 1.0E9],[4.0 1.0E9],[7.0 6.0],[8.0 6.0],[10.0 10.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
