N = 17;
T = 28;
K = 4;
C = 240.0;
furnance = 6;
color = 2;
machines = [17 18 19 20];
products = [136 71 418 157 130 146 73 430 411 53 465 240 428 409 423 126 109];
MINik = [[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0],[16.0 16.0 16.0 6.0]];
MAXik = [[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[0.0 20.0 16.0 0.0],[20.0 20.0 16.0 8.0],[0.0 0.0 16.0 0.0],[20.0 20.0 16.0 8.0],[0.0 20.0 16.0 0.0],[0.0 0.0 16.0 0.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0],[20.0 20.0 16.0 8.0]];
Pik = [[2.8188 2.8188 2.8188 2.8188],[2.03148 2.03148 2.03148 2.03148],[4.54896 4.54896 4.54896 4.54896],[2.916 2.916 2.916 2.916],[2.68272 2.68272 2.68272 2.68272],[2.1384 2.1384 2.1384 2.1384],[2.1546 2.1546 2.1546 2.1546],[2.99376 2.99376 2.99376 2.99376],[3.9852 3.9852 3.9852 3.9852],[1.378944 1.378944 1.378944 1.378944],[4.54896 4.54896 4.54896 4.54896],[3.2486184000000002 3.2486184000000002 3.2486184000000002 3.2486184000000002],[3.96576 3.96576 3.96576 3.96576],[5.2488 5.2488 5.2488 5.2488],[4.54896 4.54896 4.54896 4.54896],[2.593296 2.593296 2.593296 2.593296],[1.134 1.134 1.134 1.134]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0],[0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 52.0],[0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0],[0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0],[0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0],[0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 58.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0],[0.0 0.0 0.0 0.0 0.0 0.0 67.0 0.0 0.0 0.0 0.0 0.0 0.0 67.0 0.0 0.0 0.0 0.0 0.0 0.0 67.0 0.0 0.0 0.0 0.0 0.0 0.0 67.0],[0.0 0.0 0.0 0.0 0.0 0.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0],[0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0],[0.0 0.0 0.0 0.0 0.0 0.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0]];
Sijk = [[[0.0 0.0 0.0 0.0],[6.0 7.0 6.0 2.0],[9.0 9.0 8.0 5.0],[11.0 11.0 9.0 4.0],[6.0 11.0 8.0 4.0],[7.0 6.0 6.0 3.0],[7.0 6.0 6.0 2.0],[12.0 7.0 7.0 3.0],[1.0E9 7.0 7.0 1.0E9],[6.0 6.0 5.0 2.0],[1.0E9 1.0E9 8.0 1.0E9],[10.0 11.0 8.0 5.0],[1.0E9 12.0 10.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[10.0 11.0 10.0 7.0],[8.0 7.0 5.0 3.0],[4.0 4.0 3.0 2.0]]
[[10.0 7.0 7.0 5.0],[0.0 0.0 0.0 0.0],[11.0 11.0 7.0 5.0],[12.0 10.0 9.0 5.0],[7.0 10.0 6.0 5.0],[5.0 9.0 5.0 3.0],[7.0 7.0 6.0 4.0],[8.0 7.0 9.0 5.0],[1.0E9 9.0 8.0 1.0E9],[6.0 5.0 5.0 2.0],[1.0E9 1.0E9 10.0 1.0E9],[10.0 10.0 7.0 4.0],[1.0E9 12.0 7.0 1.0E9],[1.0E9 1.0E9 8.0 1.0E9],[10.0 12.0 11.0 4.0],[8.0 9.0 7.0 5.0],[3.0 4.0 4.0 2.0]]
[[9.0 6.0 5.0 5.0],[7.0 7.0 5.0 4.0],[0.0 0.0 0.0 0.0],[8.0 10.0 8.0 4.0],[9.0 8.0 6.0 4.0],[8.0 5.0 4.0 3.0],[8.0 5.0 5.0 3.0],[8.0 9.0 8.0 4.0],[1.0E9 10.0 8.0 1.0E9],[3.0 4.0 5.0 3.0],[1.0E9 1.0E9 9.0 1.0E9],[12.0 10.0 6.0 5.0],[1.0E9 8.0 7.0 1.0E9],[1.0E9 1.0E9 10.0 1.0E9],[10.0 12.0 11.0 4.0],[8.0 10.0 6.0 4.0],[4.0 4.0 4.0 2.0]]
[[10.0 11.0 9.0 5.0],[8.0 5.0 6.0 3.0],[9.0 9.0 9.0 7.0],[0.0 0.0 0.0 0.0],[8.0 11.0 5.0 4.0],[5.0 8.0 5.0 3.0],[7.0 6.0 7.0 3.0],[7.0 9.0 8.0 4.0],[1.0E9 9.0 8.0 1.0E9],[5.0 5.0 3.0 2.0],[1.0E9 1.0E9 12.0 1.0E9],[7.0 10.0 8.0 5.0],[1.0E9 8.0 8.0 1.0E9],[1.0E9 1.0E9 9.0 1.0E9],[9.0 11.0 8.0 5.0],[9.0 10.0 7.0 4.0],[5.0 4.0 3.0 2.0]]
[[7.0 11.0 8.0 4.0],[5.0 7.0 6.0 3.0],[7.0 12.0 8.0 7.0],[10.0 8.0 8.0 4.0],[0.0 0.0 0.0 0.0],[6.0 7.0 4.0 3.0],[8.0 7.0 7.0 3.0],[9.0 12.0 10.0 5.0],[1.0E9 8.0 10.0 1.0E9],[5.0 4.0 5.0 2.0],[1.0E9 1.0E9 9.0 1.0E9],[12.0 7.0 10.0 4.0],[1.0E9 9.0 12.0 1.0E9],[1.0E9 1.0E9 9.0 1.0E9],[12.0 7.0 9.0 6.0],[8.0 8.0 5.0 4.0],[5.0 5.0 2.0 2.0]]
[[10.0 8.0 8.0 5.0],[7.0 7.0 6.0 3.0],[7.0 12.0 9.0 7.0],[7.0 12.0 9.0 5.0],[7.0 7.0 6.0 4.0],[0.0 0.0 0.0 0.0],[7.0 5.0 5.0 3.0],[8.0 10.0 6.0 3.0],[1.0E9 12.0 7.0 1.0E9],[5.0 6.0 4.0 2.0],[1.0E9 1.0E9 12.0 1.0E9],[11.0 7.0 9.0 3.0],[1.0E9 10.0 9.0 1.0E9],[1.0E9 1.0E9 7.0 1.0E9],[7.0 10.0 12.0 5.0],[9.0 7.0 5.0 4.0],[4.0 4.0 4.0 2.0]]
