N = 8;
T = 14;
K = 3;
C = 135.0;
furnance = 1;
color = 8;
machines = [1 2 3];
products = [196 155 198 49 197 200 25 47];
MINik = [[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0]];
MAXik = [[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 0.0],[16.0 8.0 16.0]];
Pik = [[4.97664 4.97664 4.97664],[3.3048 3.3048 3.3048],[4.97664 4.97664 4.97664],[3.3048 3.3048 3.3048],[4.97664 4.97664 4.97664],[4.97664 4.97664 4.97664],[4.2768 4.2768 4.2768],[4.51008 4.51008 4.51008]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0],[0.0 0.0 0.0 0.0 0.0 0.0 91.0 0.0 0.0 0.0 0.0 0.0 0.0 96.0],[0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0],[0.0 0.0 0.0 0.0 0.0 0.0 84.0 0.0 0.0 0.0 0.0 0.0 0.0 84.0],[0.0 0.0 0.0 0.0 0.0 0.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0],[0.0 0.0 0.0 0.0 0.0 0.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0],[0.0 0.0 0.0 0.0 0.0 0.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0],[0.0 0.0 0.0 0.0 0.0 0.0 94.0 0.0 0.0 0.0 0.0 0.0 0.0 57.0]];
Sijk = [[[0.0 0.0 0.0],[9.0 6.0 1.0E9],[6.0 6.0 1.0E9],[7.0 4.0 1.0E9],[7.0 6.0 1.0E9],[8.0 6.0 1.0E9],[5.0 6.0 1.0E9],[9.0 6.0 6.0]]
[[7.0 5.0 1.0E9],[0.0 0.0 0.0],[8.0 6.0 1.0E9],[8.0 5.0 1.0E9],[6.0 6.0 1.0E9],[5.0 7.0 1.0E9],[8.0 5.0 1.0E9],[7.0 7.0 7.0]]
[[8.0 6.0 1.0E9],[7.0 4.0 1.0E9],[0.0 0.0 0.0],[8.0 5.0 1.0E9],[6.0 5.0 1.0E9],[9.0 5.0 1.0E9],[7.0 7.0 1.0E9],[7.0 5.0 8.0]]
[[6.0 5.0 1.0E9],[7.0 3.0 1.0E9],[8.0 8.0 1.0E9],[0.0 0.0 0.0],[8.0 6.0 1.0E9],[9.0 7.0 1.0E9],[9.0 5.0 1.0E9],[8.0 5.0 8.0]]
[[6.0 6.0 1.0E9],[5.0 6.0 1.0E9],[8.0 6.0 1.0E9],[9.0 4.0 1.0E9],[0.0 0.0 0.0],[6.0 7.0 1.0E9],[5.0 5.0 1.0E9],[5.0 7.0 9.0]]
[[8.0 6.0 1.0E9],[5.0 4.0 1.0E9],[7.0 6.0 1.0E9],[8.0 5.0 1.0E9],[8.0 7.0 1.0E9],[0.0 0.0 0.0],[6.0 6.0 1.0E9],[7.0 7.0 5.0]]
[[8.0 5.0 1.0E9],[7.0 3.0 1.0E9],[5.0 5.0 1.0E9],[6.0 5.0 1.0E9],[6.0 8.0 1.0E9],[9.0 8.0 1.0E9],[0.0 0.0 0.0],[8.0 6.0 6.0]]
[[9.0 6.0 1.0E9],[7.0 5.0 1.0E9],[6.0 5.0 1.0E9],[5.0 4.0 1.0E9],[8.0 8.0 1.0E9],[8.0 8.0 1.0E9],[9.0 4.0 1.0E9],[0.0 0.0 0.0]]];
Cijk = [[[0.0 0.0 0.0],[9.0 6.0 1.0E9],[6.0 6.0 1.0E9],[7.0 4.0 1.0E9],[7.0 6.0 1.0E9],[8.0 6.0 1.0E9],[5.0 6.0 1.0E9],[9.0 6.0 6.0]]
[[7.0 5.0 1.0E9],[0.0 0.0 0.0],[8.0 6.0 1.0E9],[8.0 5.0 1.0E9],[6.0 6.0 1.0E9],[5.0 7.0 1.0E9],[8.0 5.0 1.0E9],[7.0 7.0 7.0]]
[[8.0 6.0 1.0E9],[7.0 4.0 1.0E9],[0.0 0.0 0.0],[8.0 5.0 1.0E9],[6.0 5.0 1.0E9],[9.0 5.0 1.0E9],[7.0 7.0 1.0E9],[7.0 5.0 8.0]]
[[6.0 5.0 1.0E9],[7.0 3.0 1.0E9],[8.0 8.0 1.0E9],[0.0 0.0 0.0],[8.0 6.0 1.0E9],[9.0 7.0 1.0E9],[9.0 5.0 1.0E9],[8.0 5.0 8.0]]
[[6.0 6.0 1.0E9],[5.0 6.0 1.0E9],[8.0 6.0 1.0E9],[9.0 4.0 1.0E9],[0.0 0.0 0.0],[6.0 7.0 1.0E9],[5.0 5.0 1.0E9],[5.0 7.0 9.0]]
[[8.0 6.0 1.0E9],[5.0 4.0 1.0E9],[7.0 6.0 1.0E9],[8.0 5.0 1.0E9],[8.0 7.0 1.0E9],[0.0 0.0 0.0],[6.0 6.0 1.0E9],[7.0 7.0 5.0]]
[[8.0 5.0 1.0E9],[7.0 3.0 1.0E9],[5.0 5.0 1.0E9],[6.0 5.0 1.0E9],[6.0 8.0 1.0E9],[9.0 8.0 1.0E9],[0.0 0.0 0.0],[8.0 6.0 6.0]]
[[9.0 6.0 1.0E9],[7.0 5.0 1.0E9],[6.0 5.0 1.0E9],[5.0 4.0 1.0E9],[8.0 8.0 1.0E9],[8.0 8.0 1.0E9],[9.0 4.0 1.0E9],[0.0 0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
