N = 14;
T = 14;
K = 3;
C = 135.0;
furnance = 1;
color = 3;
machines = [1 2 3];
products = [83 13 226 238 10 254 463 21 14 94 235 15 244 232];
MINik = [[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0],[6.0 6.0 12.0]];
MAXik = [[16.0 8.0 0.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 0.0],[0.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 0.0 16.0],[16.0 8.0 16.0],[16.0 8.0 16.0],[16.0 0.0 16.0]];
Pik = [[5.00094 5.00094 5.00094],[3.888 3.888 3.888],[2.956824 2.956824 2.956824],[3.67416 3.67416 3.67416],[3.888 3.888 3.888],[4.44528 4.44528 4.44528],[4.54896 4.54896 4.54896],[4.76928 4.76928 4.76928],[3.888 3.888 3.888],[3.1104 3.1104 3.1104],[3.2311872 3.2311872 3.2311872],[3.84912 3.84912 3.84912],[3.38742 3.38742 3.38742],[3.4992 3.4992 3.4992]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0],[0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 52.0],[0.0 0.0 0.0 0.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 50.0],[0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 19.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0],[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0],[0.0 0.0 0.0 0.0 0.0 0.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0]];
Sijk = [[[0.0 0.0 0.0],[8.0 5.0 8.0],[6.0 4.0 7.0],[7.0 6.0 5.0],[6.0 6.0 7.0],[9.0 6.0 1.0E9],[1.0E9 5.0 7.0],[7.0 6.0 6.0],[7.0 6.0 8.0],[9.0 3.0 7.0],[7.0 1.0E9 9.0],[6.0 6.0 6.0],[7.0 5.0 6.0],[6.0 1.0E9 6.0]]
[[6.0 8.0 1.0E9],[0.0 0.0 0.0],[9.0 3.0 5.0],[9.0 6.0 6.0],[5.0 5.0 6.0],[6.0 4.0 1.0E9],[1.0E9 5.0 6.0],[7.0 6.0 5.0],[6.0 4.0 7.0],[8.0 4.0 9.0],[9.0 1.0E9 7.0],[8.0 5.0 6.0],[8.0 4.0 7.0],[8.0 1.0E9 5.0]]
[[7.0 6.0 1.0E9],[5.0 5.0 7.0],[0.0 0.0 0.0],[6.0 6.0 8.0],[8.0 6.0 6.0],[5.0 4.0 1.0E9],[1.0E9 7.0 7.0],[9.0 5.0 6.0],[6.0 5.0 7.0],[8.0 4.0 9.0],[7.0 1.0E9 9.0],[5.0 5.0 8.0],[6.0 5.0 7.0],[7.0 1.0E9 7.0]]
[[5.0 8.0 1.0E9],[6.0 6.0 8.0],[6.0 4.0 9.0],[0.0 0.0 0.0],[9.0 4.0 8.0],[7.0 6.0 1.0E9],[1.0E9 5.0 7.0],[6.0 5.0 7.0],[7.0 5.0 7.0],[9.0 4.0 8.0],[7.0 1.0E9 9.0],[5.0 6.0 9.0],[8.0 5.0 9.0],[7.0 1.0E9 6.0]]
[[6.0 7.0 1.0E9],[6.0 6.0 7.0],[9.0 5.0 9.0],[6.0 5.0 6.0],[0.0 0.0 0.0],[8.0 7.0 1.0E9],[1.0E9 5.0 5.0],[9.0 7.0 9.0],[9.0 4.0 9.0],[9.0 5.0 8.0],[9.0 1.0E9 8.0],[8.0 6.0 6.0],[6.0 4.0 6.0],[6.0 1.0E9 9.0]]
[[9.0 8.0 1.0E9],[9.0 7.0 6.0],[5.0 3.0 7.0],[9.0 4.0 6.0],[7.0 6.0 7.0],[0.0 0.0 0.0],[1.0E9 6.0 8.0],[6.0 6.0 6.0],[5.0 5.0 5.0],[9.0 4.0 8.0],[8.0 1.0E9 9.0],[6.0 4.0 9.0],[8.0 5.0 6.0],[7.0 1.0E9 9.0]]
[[7.0 6.0 1.0E9],[8.0 5.0 6.0],[7.0 3.0 9.0],[9.0 3.0 8.0],[5.0 7.0 8.0],[9.0 5.0 1.0E9],[0.0 0.0 0.0],[8.0 5.0 6.0],[5.0 4.0 7.0],[6.0 5.0 7.0],[7.0 1.0E9 6.0],[8.0 5.0 6.0],[7.0 5.0 8.0],[6.0 1.0E9 9.0]]
[[8.0 7.0 1.0E9],[7.0 4.0 8.0],[8.0 4.0 8.0],[8.0 3.0 7.0],[7.0 5.0 9.0],[6.0 5.0 1.0E9],[1.0E9 5.0 7.0],[0.0 0.0 0.0],[9.0 4.0 9.0],[9.0 3.0 8.0],[6.0 1.0E9 7.0],[8.0 6.0 9.0],[9.0 5.0 6.0],[8.0 1.0E9 7.0]]
[[6.0 8.0 1.0E9],[7.0 5.0 9.0],[9.0 3.0 8.0],[9.0 6.0 9.0],[9.0 7.0 8.0],[6.0 5.0 1.0E9],[1.0E9 5.0 9.0],[6.0 8.0 7.0],[0.0 0.0 0.0],[6.0 4.0 9.0],[5.0 1.0E9 6.0],[7.0 5.0 8.0],[7.0 6.0 8.0],[8.0 1.0E9 6.0]]
[[9.0 5.0 1.0E9],[9.0 4.0 7.0],[9.0 3.0 5.0],[8.0 5.0 5.0],[9.0 5.0 5.0],[6.0 6.0 1.0E9],[1.0E9 6.0 6.0],[5.0 7.0 8.0],[9.0 5.0 8.0],[0.0 0.0 0.0],[6.0 1.0E9 5.0],[9.0 5.0 6.0],[6.0 6.0 8.0],[7.0 1.0E9 9.0]]
[[8.0 8.0 1.0E9],[5.0 4.0 5.0],[8.0 5.0 7.0],[9.0 6.0 6.0],[6.0 4.0 7.0],[5.0 6.0 1.0E9],[1.0E9 7.0 6.0],[9.0 5.0 8.0],[7.0 4.0 7.0],[8.0 4.0 6.0],[0.0 0.0 0.0],[5.0 5.0 6.0],[8.0 5.0 6.0],[6.0 1.0E9 8.0]]
[[8.0 8.0 1.0E9],[9.0 4.0 8.0],[5.0 3.0 6.0],[8.0 6.0 8.0],[6.0 4.0 5.0],[8.0 6.0 1.0E9],[1.0E9 6.0 8.0],[5.0 8.0 7.0],[7.0 6.0 5.0],[7.0 3.0 5.0],[7.0 1.0E9 9.0],[0.0 0.0 0.0],[8.0 4.0 7.0],[7.0 1.0E9 9.0]]
[[8.0 5.0 1.0E9],[9.0 4.0 8.0],[9.0 5.0 8.0],[8.0 5.0 6.0],[7.0 4.0 8.0],[8.0 6.0 1.0E9],[1.0E9 5.0 6.0],[9.0 5.0 7.0],[6.0 4.0 8.0],[7.0 4.0 9.0],[7.0 1.0E9 5.0],[9.0 7.0 7.0],[0.0 0.0 0.0],[9.0 1.0E9 6.0]]
