N = 18;
T = 28;
K = 2;
C = 130.0;
furnance = 3;
color = 1;
machines = [9 10];
products = [149 9 425 67 151 69 98 116 229 129 141 147 135 137 96 127 123 132];
MINik = [[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0]];
MAXik = [[20.0 20.0],[20.0 0.0],[20.0 0.0],[20.0 20.0],[20.0 0.0],[20.0 0.0],[20.0 20.0],[20.0 0.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0]];
Pik = [[2.69568 2.69568],[3.402 3.402],[4.54896 4.54896],[2.48832 2.48832],[2.4624 2.4624],[2.357424 2.357424],[2.77992 2.77992],[3.4992 3.4992],[2.952288 2.952288],[2.593296 2.593296],[2.70864 2.70864],[3.532896 3.532896],[2.8188 2.8188],[2.8188 2.8188],[2.349 2.349],[2.593296 2.593296],[2.752056 2.752056],[2.61144 2.61144]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0],[0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0],[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0],[0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0],[0.0 0.0 0.0 0.0 0.0 0.0 53.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]];
Sijk = [[[0.0 0.0],[9.0 1.0E9],[8.0 1.0E9],[6.0 9.0],[7.0 1.0E9],[9.0 1.0E9],[6.0 8.0],[7.0 1.0E9],[8.0 8.0],[8.0 8.0],[6.0 7.0],[10.0 11.0],[9.0 7.0],[10.0 9.0],[10.0 8.0],[7.0 9.0],[7.0 11.0],[7.0 6.0]]
[[6.0 7.0],[0.0 0.0],[8.0 1.0E9],[7.0 7.0],[6.0 1.0E9],[6.0 1.0E9],[6.0 8.0],[8.0 1.0E9],[10.0 12.0],[8.0 7.0],[8.0 7.0],[12.0 10.0],[9.0 6.0],[12.0 8.0],[9.0 6.0],[10.0 6.0],[11.0 7.0],[8.0 10.0]]
[[10.0 8.0],[11.0 1.0E9],[0.0 0.0],[10.0 6.0],[7.0 1.0E9],[7.0 1.0E9],[11.0 8.0],[13.0 1.0E9],[8.0 7.0],[7.0 7.0],[8.0 8.0],[11.0 8.0],[10.0 7.0],[11.0 10.0],[9.0 5.0],[7.0 10.0],[11.0 9.0],[10.0 9.0]]
[[8.0 8.0],[8.0 1.0E9],[11.0 1.0E9],[0.0 0.0],[9.0 1.0E9],[9.0 1.0E9],[8.0 11.0],[8.0 1.0E9],[9.0 12.0],[6.0 10.0],[7.0 10.0],[13.0 13.0],[10.0 8.0],[9.0 8.0],[8.0 6.0],[9.0 10.0],[9.0 9.0],[7.0 9.0]]
[[8.0 10.0],[8.0 1.0E9],[8.0 1.0E9],[8.0 8.0],[0.0 0.0],[8.0 1.0E9],[8.0 7.0],[13.0 1.0E9],[8.0 7.0],[6.0 11.0],[9.0 9.0],[12.0 12.0],[7.0 10.0],[9.0 7.0],[10.0 5.0],[11.0 8.0],[11.0 8.0],[10.0 7.0]]
[[6.0 6.0],[12.0 1.0E9],[9.0 1.0E9],[7.0 7.0],[6.0 1.0E9],[0.0 0.0],[8.0 10.0],[13.0 1.0E9],[8.0 10.0],[8.0 8.0],[7.0 6.0],[7.0 12.0],[7.0 11.0],[8.0 11.0],[6.0 8.0],[6.0 8.0],[8.0 9.0],[7.0 8.0]]
[[6.0 7.0],[7.0 1.0E9],[9.0 1.0E9],[7.0 6.0],[6.0 1.0E9],[6.0 1.0E9],[0.0 0.0],[12.0 1.0E9],[10.0 11.0],[8.0 8.0],[8.0 7.0],[12.0 10.0],[10.0 9.0],[8.0 11.0],[9.0 8.0],[10.0 8.0],[7.0 6.0],[9.0 11.0]]
