N = 9;
T = 14;
K = 2;
C = 130.0;
furnance = 3;
color = 5;
machines = [9 10];
products = [294 281 134 485 333 280 295 300 339];
MINik = [[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0]];
MAXik = [[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0]];
Pik = [[1.99584 1.99584],[3.193344 3.193344],[2.8188 2.8188],[2.835 2.835],[2.558304 2.558304],[2.8674 2.8674],[1.741824 1.741824],[1.8261935999999996 1.8261935999999996],[2.375568 2.375568]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 31.0],[0.0 0.0 0.0 0.0 0.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 51.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 83.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0],[0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 83.0],[0.0 0.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 29.0],[0.0 0.0 0.0 0.0 0.0 0.0 83.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0]];
Sijk = [[[0.0 0.0],[8.0 13.0],[6.0 7.0],[8.0 8.0],[8.0 10.0],[8.0 10.0],[7.0 7.0],[5.0 6.0],[9.0 7.0]]
[[5.0 7.0],[0.0 0.0],[7.0 9.0],[10.0 6.0],[8.0 10.0],[7.0 9.0],[7.0 4.0],[6.0 8.0],[8.0 8.0]]
[[5.0 6.0],[7.0 12.0],[0.0 0.0],[11.0 8.0],[9.0 8.0],[10.0 11.0],[7.0 5.0],[6.0 7.0],[10.0 8.0]]
[[6.0 5.0],[8.0 10.0],[6.0 12.0],[0.0 0.0],[10.0 8.0],[8.0 10.0],[5.0 5.0],[6.0 6.0],[9.0 6.0]]
[[7.0 6.0],[10.0 13.0],[10.0 8.0],[9.0 10.0],[0.0 0.0],[8.0 6.0],[5.0 7.0],[7.0 6.0],[8.0 7.0]]
[[7.0 5.0],[8.0 7.0],[10.0 11.0],[9.0 10.0],[6.0 8.0],[0.0 0.0],[7.0 5.0],[7.0 5.0],[8.0 8.0]]
[[5.0 6.0],[11.0 7.0],[9.0 8.0],[9.0 7.0],[7.0 6.0],[10.0 6.0],[0.0 0.0],[7.0 8.0],[6.0 10.0]]
[[6.0 7.0],[11.0 13.0],[11.0 8.0],[11.0 11.0],[8.0 7.0],[8.0 11.0],[6.0 6.0],[0.0 0.0],[7.0 8.0]]
[[8.0 6.0],[8.0 11.0],[6.0 11.0],[11.0 6.0],[7.0 10.0],[11.0 10.0],[7.0 7.0],[5.0 8.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[8.0 13.0],[6.0 7.0],[8.0 8.0],[8.0 10.0],[8.0 10.0],[7.0 7.0],[5.0 6.0],[9.0 7.0]]
[[5.0 7.0],[0.0 0.0],[7.0 9.0],[10.0 6.0],[8.0 10.0],[7.0 9.0],[7.0 4.0],[6.0 8.0],[8.0 8.0]]
[[5.0 6.0],[7.0 12.0],[0.0 0.0],[11.0 8.0],[9.0 8.0],[10.0 11.0],[7.0 5.0],[6.0 7.0],[10.0 8.0]]
[[6.0 5.0],[8.0 10.0],[6.0 12.0],[0.0 0.0],[10.0 8.0],[8.0 10.0],[5.0 5.0],[6.0 6.0],[9.0 6.0]]
[[7.0 6.0],[10.0 13.0],[10.0 8.0],[9.0 10.0],[0.0 0.0],[8.0 6.0],[5.0 7.0],[7.0 6.0],[8.0 7.0]]
[[7.0 5.0],[8.0 7.0],[10.0 11.0],[9.0 10.0],[6.0 8.0],[0.0 0.0],[7.0 5.0],[7.0 5.0],[8.0 8.0]]
[[5.0 6.0],[11.0 7.0],[9.0 8.0],[9.0 7.0],[7.0 6.0],[10.0 6.0],[0.0 0.0],[7.0 8.0],[6.0 10.0]]
[[6.0 7.0],[11.0 13.0],[11.0 8.0],[11.0 11.0],[8.0 7.0],[8.0 11.0],[6.0 6.0],[0.0 0.0],[7.0 8.0]]
[[8.0 6.0],[8.0 11.0],[6.0 11.0],[11.0 6.0],[7.0 10.0],[11.0 10.0],[7.0 7.0],[5.0 8.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
