N = 10;
T = 28;
K = 2;
C = 130.0;
furnance = 3;
color = 1;
machines = [9 10];
products = [98 78 138 85 74 67 127 132 135 149];
MINik = [[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0],[14.0 14.0]];
MAXik = [[20.0 20.0],[20.0 0.0],[20.0 20.0],[20.0 0.0],[20.0 0.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0],[20.0 20.0]];
Pik = [[2.77992 2.77992],[1.8792 1.8792],[2.820096 2.820096],[1.6524 1.6524],[2.1546 2.1546],[2.48832 2.48832],[2.593296 2.593296],[2.61144 2.61144],[2.8188 2.8188],[2.69568 2.69568]];
Dit = [[0.0 0.0 0.0 0.0 0.0 0.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0],[0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0],[0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 26.0],[0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 34.0],[0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 39.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0],[0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 41.0],[0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 69.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0],[0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0]];
Sijk = [[[0.0 0.0],[6.0 1.0E9],[10.0 7.0],[6.0 1.0E9],[7.0 1.0E9],[6.0 10.0],[8.0 11.0],[8.0 9.0],[6.0 8.0],[7.0 6.0]]
[[7.0 11.0],[0.0 0.0],[11.0 8.0],[4.0 1.0E9],[7.0 1.0E9],[7.0 7.0],[6.0 9.0],[8.0 7.0],[6.0 12.0],[10.0 9.0]]
[[7.0 7.0],[6.0 1.0E9],[0.0 0.0],[4.0 1.0E9],[8.0 1.0E9],[10.0 8.0],[11.0 8.0],[6.0 10.0],[7.0 11.0],[8.0 9.0]]
[[11.0 6.0],[5.0 1.0E9],[7.0 10.0],[0.0 0.0],[6.0 1.0E9],[10.0 7.0],[7.0 10.0],[11.0 10.0],[10.0 10.0],[9.0 11.0]]
[[11.0 11.0],[6.0 1.0E9],[8.0 10.0],[6.0 1.0E9],[0.0 0.0],[9.0 10.0],[8.0 6.0],[11.0 9.0],[9.0 8.0],[6.0 7.0]]
[[9.0 12.0],[6.0 1.0E9],[8.0 8.0],[6.0 1.0E9],[8.0 1.0E9],[0.0 0.0],[7.0 10.0],[10.0 7.0],[8.0 10.0],[11.0 11.0]]
[[10.0 10.0],[5.0 1.0E9],[10.0 9.0],[4.0 1.0E9],[9.0 1.0E9],[10.0 8.0],[0.0 0.0],[8.0 9.0],[11.0 10.0],[10.0 10.0]]
